Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1247719,pillow cover,1,0,0,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1247718,tebal cover,1,0,0,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1247717,duet cover,1,0,0,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1247716,apran,1,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1247715,towal,1,0,0,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1247714,bad sheet dubal,1,0,0,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1247713,single bedsheet,1,0,0,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1240082,under wear,1,0,10,0,,0,0,,,STEAM IRON,BOY,no,no,NO,,Item,SALE,,,
1240081,Achkan ,1,0,139,0,,0,0,,,STEAM IRON,BOY,no,no,NO,,Item,SALE,,,
1240080,Dhoti,1,0,39,0,,0,0,,,STEAM IRON,BOY,no,no,NO,,Item,SALE,,,
1240079,lungi,1,0,39,0,,0,0,,,STEAM IRON,BOY,no,no,NO,,Item,SALE,,,
1240078,coat long ,1,0,99,0,,0,0,,,STEAM IRON,BOY,no,no,NO,,Item,SALE,,,
1240073,under wear,1,0,29,0,,0,0,,,DRY CLEAN,Boy,no,no,NO,,Item,SALE,,,
1240072,Achkan ,1,0,319,0,,0,0,,,DRY CLEAN,Boy,no,no,NO,,Item,SALE,,,
1240071,Dhoti silk,1,0,89,0,,0,0,,,DRY CLEAN,Boy,no,no,NO,,Item,SALE,,,
1240070,lungi,1,0,89,0,,0,0,,,DRY CLEAN,Boy,no,no,NO,,Item,SALE,,,
1240069,capri,1,0,109,0,,0,0,,,DRY CLEAN,Boy,no,no,NO,,Item,SALE,,,
1240068,shorts,1,0,49,0,,0,0,,,DRY CLEAN,Boy,no,no,NO,,Item,SALE,,,
1240067,Shirt Silk,1,0,89,0,,0,0,,,DRY CLEAN,Boy,no,no,NO,,Item,SALE,,,
1240066,Sweat pant,1,0,69,0,,0,0,,,DRY CLEAN,Boy,no,no,NO,,Item,SALE,,,
1240065,lower,1,0,59,0,,0,0,,,DRY CLEAN,Boy,no,no,NO,,Item,SALE,,,
1239674,Track pant,1,0,59,0,,0,0,,,DRY CLEAN,Boy,no,no,NO,,Item,SALE,,,
1239672,vest,1,0,49,0,,0,0,,,DRY CLEAN,Boy,no,no,NO,,Item,SALE,,,
1239671,Blazer long ,1,0,299,0,,0,0,,,DRY CLEAN,Boy,no,no,NO,,Item,SALE,,,
