Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1241431,Starch,1,0,59,0,,0,0,,,Dry Clean,Full Body,no,no,NO,,Item,SALE,,,
1230496,Vasket,1,0,179,0,,0,0,,,Dry Clean,Upper Wear,no,no,NO,,Item,SALE,,,
1168567,Kurta Pyjama With Starch,1,0,198,0,,0,0,,,Dry Clean,Full Body,no,no,NO,,Item,SALE,,,
1168388,Sharara very Heavy 3pcs,1,0,259,0,,0,0,,,Steam Iron,Full Body Ladies,no,no,NO,,Item,SALE,,,
1168387,sharar very set 2pc,1,0,219,0,,0,0,,,Steam Iron,Full Body Ladies,no,no,NO,,Item,SALE,,,
1168386,sharaa heavy and more,1,0,189,0,,0,0,,,Steam Iron,Full Body Ladies,no,no,NO,,Item,SALE,,,
1168385,Sharara suit 3 pc ,1,0,199,0,,0,0,,,Steam Iron,Full Body Ladies,no,no,NO,,Item,SALE,,,
1168384,Sharara suit 2 pc,1,0,149,0,,0,0,,,Steam Iron,Full Body Ladies,no,no,NO,,Item,SALE,,,
1168383,Sharara ,1,0,99,0,,0,0,,,Steam Iron,BOTTOM WEAR,no,no,NO,,Item,SALE,,,
1152784,Ladies Suit 3 pcs,3,0,129,0,,0,0,,,Steam Iron,Full Body Ladies,no,no,NO,,Item,SALE,,,
1152782,Ladies suit 3 Pcs Heavy Work,3,0,149,0,,0,0,,,Steam Iron,Full Body Ladies,no,no,NO,,Item,SALE,,,
1152781,Ladies Suit 2pc heavy work,2,0,119,0,,0,0,,,Steam Iron,Full Body Ladies,no,no,NO,,Item,SALE,,,
1152780,Ladies Suit 2pc Light work,2,0,99,0,,0,0,,,Steam Iron,Full Body Ladies,no,no,NO,,Item,SALE,,,
1143332,Jacket With Battery Heater,1,0,429,0,,0,0,,,Dry Clean,Upper Wear,no,no,NO,,Item,SALE,,,
1141967,Shawl,1,0,69,0,,0,0,,,Steam Iron,UPPER WEAR,no,no,NO,,Item,SALE,,,
1141966,Suit 3 PC Baby - Child,1,0,179,0,,0,0,,,Dry Clean,Full Body,no,no,NO,,Item,SALE,,,
1141965,Suit 2 pc Child,1,0,159,0,,0,0,,,Dry Clean,Full Body,no,no,NO,,Item,SALE,,,
1141964,Sweater,1,0,79,0,,0,0,,,Steam Iron,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1123091,Jacket Heavy,1,0,339,0,,0,0,,,Winter Wear,Winter,no,no,NO,,Item,SALE,,,
