Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1216472,Wash and Iron per pcs,1,0,40,0,,0,0,,,LAUNDRY BY WEIGHT,LAUNDRY,no,no,NO,,Item,SALE,,,
1216471,Wash and Fold per pcs ,1,0,20,0,,0,0,,,LAUNDRY BY WEIGHT,LAUNDRY,no,no,NO,,Item,SALE,,,
1216470,Woolen Laundry Premium per pcs,1,0,40,0,,0,0,,,LAUNDRY BY WEIGHT,LAUNDRY,no,no,NO,,Item,SALE,,,
1216469,Woolen Laundry Premium per kg,1,0,250,0,,0,0,,,LAUNDRY BY WEIGHT,LAUNDRY,no,no,NO,,Item,SALE,,,
1154910,Wash & Iron Per Kg,1,0,110,0,,9,9,,,LAUNDRY BY WEIGHT,LAUNDRY,no,no,NO,,Item,SALE,,,
1154909,Wash & Fold Per Kg,1,0,80,0,,9,9,,,LAUNDRY BY WEIGHT,LAUNDRY,no,no,NO,,Item,SALE,,,
1154877,Belt,1,0,20,0,,9,9,,,STEAM PRESS ONLY,ACCESSORIES,no,no,NO,,Item,SALE,,,
1154876,Hat,1,0,20,0,,9,9,,,STEAM PRESS ONLY,ACCESSORIES,no,no,NO,,Item,SALE,,,
1154875,Gloves,2,0,20,0,,9,9,,,STEAM PRESS ONLY,ACCESSORIES,no,no,NO,,Item,SALE,,,
1154874,Scarf,1,0,20,0,,9,9,,,STEAM PRESS ONLY,ACCESSORIES,no,no,NO,,Item,SALE,,,
1154873,Tie,1,0,10,0,,9,9,,,STEAM PRESS ONLY,ACCESSORIES,no,no,No,,Item,SALE,,,
1154837,Handkerchief,1,0,15,0,,9,9,,,STEAM PRESS ONLY,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1154834,Towel,0,0,0,0,,0,0,,,STEAM PRESS ONLY,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
1154835,Towel-Normal,1,0,30,0,,9,9,,,STEAM PRESS ONLY,HOUSE HOLD,no,no,NO,,group,SALE,Normal,,
1154836,Towel-Hand,1,0,0,0,,9,9,,,STEAM PRESS ONLY,HOUSE HOLD,no,no,NO,,group,SALE,Hand,,
1154831,Table Cloth,0,0,0,0,,0,0,,,STEAM PRESS ONLY,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
1154832,Table Cloth-Small,1,0,15,0,,9,9,,,STEAM PRESS ONLY,HOUSE HOLD,no,no,NO,,group,SALE,Small,,
1154833,Table Cloth-Large,1,0,25,0,,9,9,,,STEAM PRESS ONLY,HOUSE HOLD,no,no,NO,,group,SALE,Large,,
1154827,Cushion or Pillow,0,0,0,0,,0,0,,,STEAM PRESS ONLY,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
1154828,Cushion or Pillow-Small,1,0,50,0,,9,9,,,STEAM PRESS ONLY,HOUSE HOLD,no,no,NO,,group,SALE,Small,,
1154829,Cushion or Pillow-Medium,1,0,80,0,,9,9,,,STEAM PRESS ONLY,HOUSE HOLD,no,no,NO,,group,SALE,Medium,,
1154830,Cushion or Pillow-Large,1,0,100,0,,9,9,,,STEAM PRESS ONLY,HOUSE HOLD,no,no,NO,,group,SALE,Large,,
1154823,Sofa or Cushion Pillow Cover,0,0,0,0,,0,0,,,STEAM PRESS ONLY,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
1154824,Sofa or Cushion Pillow Cover-Small,1,0,20,0,,9,9,,,STEAM PRESS ONLY,HOUSE HOLD,no,no,NO,,group,SALE,Small,,
1154825,Sofa or Cushion Pillow Cover-Medium,1,0,30,0,,9,9,,,STEAM PRESS ONLY,HOUSE HOLD,no,no,NO,,group,SALE,Medium,,
1154826,Sofa or Cushion Pillow Cover-Large,1,0,40,0,,9,9,,,STEAM PRESS ONLY,HOUSE HOLD,no,no,NO,,group,SALE,Large,,
1154811,BedSheet,0,0,0,0,,0,0,,,STEAM PRESS ONLY,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
1154812,BedSheet-Single,1,0,20,0,,9,9,,,STEAM PRESS ONLY,HOUSE HOLD,no,no,NO,,group,SALE,Single,,
1154813,BedSheet-Double,1,0,30,0,,9,9,,,STEAM PRESS ONLY,HOUSE HOLD,no,no,NO,,group,SALE,Double,,
1154798,Child Frock,1,0,40,0,,9,9,,,STEAM PRESS ONLY,KIDS,no,no,NO,,Item,SALE,,,
1154797,Tie,1,0,15,0,,9,9,,,STEAM PRESS ONLY,KIDS,no,no,NO,,Item,SALE,,,
1154796,Skirt,1,0,15,0,,9,9,,,STEAM PRESS ONLY,KIDS,no,no,NO,,Item,SALE,,,
1154795,Swimming Costume,1,0,15,0,,9,9,,,STEAM PRESS ONLY,KIDS,no,no,NO,,Item,SALE,,,
1154794,Achkan,1,0,65,0,,9,9,,,STEAM PRESS ONLY,KIDS,no,no,NO,,Item,SALE,,,
1154793,Pathani Suit,1,0,50,0,,9,9,,,STEAM PRESS ONLY,KIDS,no,no,NO,,Item,SALE,,,
1154792,Sweater Half,1,0,20,0,,9,9,,,STEAM PRESS ONLY,KIDS,no,no,NO,,Item,SALE,,,
1154791,Waist Coat,1,0,25,0,,9,9,,,STEAM PRESS ONLY,KIDS,no,no,NO,,Item,SALE,,,
1154790,Sweat Shirt,1,0,15,0,,9,9,,,STEAM PRESS ONLY,KIDS,no,no,NO,,Item,SALE,,,
