Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1232038,curtain window with liner /penel -3*4,1,0,60,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1232037,Curtain window without liner /penel -3*4,1,0,40,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1232036,Curtain Door with liner /penel -3*7 ,1,0,100,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1232035,curtain Door without liner /penel -3*7 ,1,0,60,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1232034,Table cloth Small,1,0,15,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1232033,Table cloth large,1,0,25,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1232032,sofa and cushion pillow cover Large,1,0,40,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1232031,sofa and cushion pillow cover small,1,0,15,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1232030,sofa and cushion pillow cover medium,1,0,25,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1232029,Bed /spread summer  comforter double,1,0,80,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1232028,Bed /spread summer  comforter single,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1232027,Quilt double cover,1,0,75,0,,0,0,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
1232026,quilt Single cover,1,0,40,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1232025,Bed sheet/D,1,0,30,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1232024,Bedsheet/S,1,0,20,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1232023,Jacket with Hood,1,0,85,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1232022,Jacket full sleeves,1,0,75,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1232021,jacket half sleeves,1,0,50,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1232020,Jacket with Hood,1,0,85,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1232019,Jacket full sleeves,1,0,75,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1232018,jacket half sleeves,1,0,50,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
