Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1302264,DUPATA STARCH AND IRON,1,0,40,0,,0,0,,,Steam Iron,STARCH AND IRON,no,no,NO,,Item,SALE,,,
1302263,SAREE HEAVY,1,0,90,0,,0,0,,,Steam Iron,STARCH AND IRON,no,no,NO,,Item,SALE,,,
1302262,SAREE STARCH AND IRON,1,0,70,0,,0,0,,,Steam Iron,STARCH AND IRON,no,no,NO,,Item,SALE,,,
1302261,DHOTI STARCH AND IRON,1,0,60,0,,0,0,,,Steam Iron,STARCH AND IRON,no,no,NO,,Item,SALE,,,
1192946,SOFA COVER,1,0,39,0,,0,0,,,Dry Clean,House Hold,no,no,NO,,Item,SALE,,,
1169590,West Coat Gandhi Full Sleeves,1,0,159,0,,0,0,,,Dry Clean,Upper Wear,no,no,NO,,Item,SALE,,,
1169589,Waist Coat Gandhi Half,1,0,119,0,,0,0,,,Dry Clean,Upper Wear,no,no,NO,,Item,SALE,,,
1169588,Waist Coat Reversible,1,0,249,0,,0,0,,,Dry Clean,Upper Wear,no,no,NO,,Item,SALE,,,
1163553,RAJPUTI POSHAK 3 PCS,,0,0,0,,0,0,,,Steam Iron,Full Body,no,no,NO,,ItemGroup,SALE,POSHAK,,
1163554,RAJPUTI POSHAK 3 PCS-PLANE,1,0,99,0,null,0,0,,,Steam Iron,Full Body,no,no,NO,,group,SALE,PLANE,,
1163555,RAJPUTI POSHAK 3 PCS-HEAVY,1,0,149,0,null,0,0,,,Steam Iron,Full Body,no,no,NO,,group,SALE,HEAVY,,
1163556,RAJPUTI POSHAK 3 PCS-VERY HEAVY,1,0,199,0,null,0,0,,,Steam Iron,Full Body,no,no,NO,,group,SALE,VERY HEAVY,,
1163533,RAJPUTI POSHAK 3 PCS,,0,0,0,,0,0,99,,Steam Iron,Full Body,no,no,NO,,ItemGroup,SALE,,,
1123398,COTTON /OUTER BLAZER,1,0,139,0,,0,0,,,Dry Clean,Upper Wear,no,no,NO,,Item,SALE,,,
1120691,Woolen ,,0,0,0,,0,0,,,Winter Wear,Winter,no,no,,,ItemGroup,SALE,Woolen,,
1120692,Woolen -Pajama,1,0,99,0,null,0,0,,,Winter Wear,Winter,no,no,,,group,SALE,Pajama,,
1120693,Woolen -Kurta,1,0,119,0,null,0,0,,,Winter Wear,Winter,no,no,,,group,SALE,Kurta,,
1120694,Woolen -Dupata,1,0,69,0,null,0,0,,,Winter Wear,Winter,no,no,,,group,SALE,Dupata,,
1157615,Woolen -Woolen Shirt,1,0,99,0,null,0,0,,,Winter Wear,Winter,no,no,,,group,SALE,Woolen Shirt,,
1060518,SHRUG HEAVY,1,0,40,0,,0,0,,,Steam Iron,Women,no,no,NO,,Item,SALE,,,
1060515,SHRUG PLANE,1,1,30,0,,0,0,2,,Steam Iron,Women,no,no,NO,,Item,SALE,,,
1038512,SAFA DRY CLEAN,1,0,129,0,,0,0,,,Accessories,Accessory,no,no,NO,,Item,SALE,,,
1038492,TRACK JACKET,1,0,99,0,,0,0,,,Winter Wear,Winter,no,no,NO,,Item,SALE,,,
1035028,Folding Saree,1,0,100,0,,0,0,,,Steam Iron,Full Body,no,no,NO,,Item,SALE,,,
1015352,CAR CLOTH SEAT COVER,,0,0,0,,0,0,,,Accessories,Accessory,no,no,NO,,ItemGroup,SALE,SEAT COVER,,
