Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1231023,Plazoo very Heavy,1,0,50,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1231022,Plazoo Heavy,1,0,30,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1231021,Plazoo plain,1,0,20,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1231020,salwar very heavy,1,0,40,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1231019,Salwar heavy,1,0,25,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1231018,Salwar plain,1,0,20,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1231016,Blouse very heavy,1,0,50,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1231015,Blouse heavy,1,0,25,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1231014,Blouse Plain ,1,0,20,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1231013,skirt long very heavy,1,0,70,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1231012,skirt long plain ,1,0,30,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1231011,skirt short very heavy,1,0,50,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1231007,skirt short heavy,1,0,30,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1231006,skirt short plain ,1,0,20,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1231003,Jacket with leather,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1231002,jacket sports,1,0,30,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1231001,Jacket full sleeves,1,0,120,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1231000,jacket half sleeves,1,0,90,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230996,Coat Fur Fluffy,1,0,90,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230995,Coat Normal,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230994,sweater cardigan half sleeves,1,0,30,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230993,sweat shirt with hood,1,0,50,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230992,sweat shirt with hood,1,0,40,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230990,Saree bridal weight 10 kg,1,0,300,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230989,Gown Bridal ,1,0,250,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230988,Gown Heavy,1,0,150,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230987,Gown plain,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230986,suit3 pcs very heavy,1,0,180,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230985,suit 3 pcs heavy,1,0,120,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230984,suit 3 pcs light,1,0,80,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230983,suit 2 pcs very heavy ,1,0,140,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230980,Dress Long,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230979,Dress Normal,1,0,80,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230978,Dupatta Very Heavy,1,0,60,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230977,Dupatta Heavy,1,0,40,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230976,Dupatta Plain,1,0,20,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230975,kurta and kameez Plain,1,0,30,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230974,kurta and kameez Heavy,1,0,50,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230973,Top very Heavy,1,0,70,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230972,suit 3 pcs,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1230971,suit 2 pcs,1,0,80,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
