Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1256903,Curtain window with  liner pennel ,1,0,70,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256902,Curtain window without liner pennel ,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256901,Quilt double cover,1,0,70,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256900,quilt Single cover,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256899,Bed sheet/D,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256898,Bedsheet/S,1,0,30,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256897,Bedsheet/S,1,0,30,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1256896,Blanket Spread Summer Comfortor Double,1,0,80,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256895,Blanket Spread Summer Comfortor Single,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256894,Quilt/D,1,0,120,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256893,Quilt/S,1,0,80,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256892,Blanket double double layer,1,0,120,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256891,Blanket double single layer,1,0,80,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256890,Blanket Single -  Double  layer,1,0,80,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256889,Blanket Single -single layer,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256888,Blinds ,1,0,100,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256887,Duvet,1,0,100,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256886,Table Mat,1,0,20,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256837,Foot Mat,1,0,20,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256836,Chair Covers,1,0,40,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256835,Hankerchief,1,0,20,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1256830,Jacket with leather,1,0,120,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1256829,jacket sport,1,0,40,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1256828,Jacket full sleeves,1,0,80,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1256827,jacket half sleeves,1,0,50,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1256826,long coat fur fluffy,1,0,120,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1256825,long coat normal,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1256824,Coat Fur Fluffy,1,0,80,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
