Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1235478,Saree Polishing,1,0,250,0,,0,0,,,DRY CLEAN, Rolling,no,no,NO,,Item,SALE,,,
1235477,saree Rolling,1,0,230,0,,0,0,,,DRY CLEAN, Rolling,no,no,NO,,Item,SALE,,,
1235476,wash and Steam Iron per kg,1,0,190,0,,0,0,,,LAUNDRY ,"Eco-Friendly, Germ-protection Hygiene",no,no,NO,,Item,SALE,,,
1235475,wash and fold per kg,1,0,150,0,,0,0,,,LAUNDRY ,"Eco-Friendly, Germ-protection Hygiene",no,no,NO,,Item,SALE,,,
1235474,Curtain window with liner pennel -3*4,1,0,60,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235473,Curtain window without liner pennel -3*4,1,0,40,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235472,curtain door with liner  pennel -3*7,1,0,100,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235471,curtain door without liner per pennel -3*7,1,0,60,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235470,Table cloth large,1,0,25,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235469,Table cloth Small,1,0,15,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235468,sofa /cushion/pillow cover  large,1,0,45,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235467,sofa /cushion/ pillow cover medium,1,0,30,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235466,sofa /cushion/ pillow cover small,1,0,20,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235465,Bed /spread summer  comforter Double,1,0,90,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235464,Bed /spread summer  comforter single,1,0,60,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235463,Quilt/D,1,0,85,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235462,Quilt/S,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235457,Bed sheet/D,1,0,40,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235456,Bedsheet/S,1,0,30,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235455,long coat fur fluffy,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1235454,long coat normal,1,0,80,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
