Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1210962,Dhoti DC,1,0,159,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1137580,kurta without starch,1,0,70,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1137579,Kurta with Starch,1,0,80,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1086271,Kurta & Dupatta with Starch & Iron,2,0,140,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1057139,Premium Laundry Inners,1,0,150,0,,0,0,,,LAUNDRY,LAUNDRY,no,no,NO,,Item,SALE,,,
1057082,Lehenga Very Heavy,1,0,900,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1057081,Shirt (DC+S),1,0,140,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1039872,"Kurta, Pant & dupatta (3pcs)-heavy",1,0,450,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1039871,"Kurta, Pant & dupatta (3pcs)-plain",1,0,350,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1036903,Suit -4 Pcs,1,0,600,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1036075,Lehenga -Heavy,1,0,450,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1036074,Lehenga -Plain ,1,0,350,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1027433,Starch,1,0,40,0,,0,0,,,STARCH,STARCH,no,no,NO,,Item,SALE,,,
1026451,Shoe Cleaning,1,0,350,0,,0,0,,,LAUNDRY,LAUNDRY,no,no,NO,,Item,SALE,,,
1026450,Wash & Iron Per Kg,1,0,130,0,,0,0,,,LAUNDRY,LAUNDRY,no,no,NO,,Item,SALE,,,
1026449,Wash & Fold Per KG,1,0,100,0,,0,0,,,LAUNDRY,LAUNDRY,no,no,NO,,Item,SALE,,,
1023961,Payjama,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023958,Blanket,0,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,ItemGroup,SALE,Type,,
1023959,Blanket-Single,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,group,SALE,Single,,
1023960,Blanket-Double,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,group,SALE,Double,,
1023957,Carpet,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023956,Blanket Quilt Single Layer Single,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023955,Pillow Covers,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023954,Sofa Cushion Pillow Cover Small,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023953,Cushion Covers,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023952,Suit 2 Pcs,2,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023951,Kurta  Kameez Plain,1,0,20,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023950,Shirt,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023949,Saree,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023948,Salwar,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023947,Ladies Suit 2 pcs heavy without Dupatta,2,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023946,Gown,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023945,Lehnga,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023944,Scarf,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023943,Kameez,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023942,SweaterCardigan Full Sleeves Plain,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023941,Cardigan,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023938,Jacket,0,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,ItemGroup,SALE,Type,,
1023939,Jacket-Normal,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,group,SALE,Normal,,
1023940,Jacket-Half,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,group,SALE,Half,,
1023937,Sweat Shirt,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023936,Overcoat,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023935,Sherwani,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023934,Shirt,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023933,Blanket Double,0,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1023932,Socks,2,0,0,0,,0,0,,,STEAM PRESS ONLY,ACCESSORIES,no,no,NO,,Item,SALE,,,
1023931,Helmet,1,0,0,0,,0,0,,,STEAM PRESS ONLY,ACCESSORIES,no,no,NO,,Item,SALE,,,
1023930,Belt,1,0,0,0,,0,0,,,STEAM PRESS ONLY,ACCESSORIES,no,no,NO,,Item,SALE,,,
1023929,Hat,1,0,0,0,,0,0,,,STEAM PRESS ONLY,ACCESSORIES,no,no,NO,,Item,SALE,,,
1023928,Gloves,2,0,0,0,,0,0,,,STEAM PRESS ONLY,ACCESSORIES,no,no,NO,,Item,SALE,,,
1023927,Scarf,1,0,0,0,,0,0,,,STEAM PRESS ONLY,ACCESSORIES,no,no,NO,,Item,SALE,,,
1023926,Tie,1,0,0,0,,0,0,,,STEAM PRESS ONLY,ACCESSORIES,no,no,NO,,Item,SALE,,,
