Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
956069,Wash & Iron,1,0,100,0,,9,9,,,WASH IRON,WASH & IRON,no,no,NO,,Item,SALE,,,
956068,Wash & Fold,1,0,70,0,,9,9,,,WASH FOLD,Laundry,no,no,NO,,Item,SALE,,,
955401,Payjama,1,0,30,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955398,Blanket,0,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,ItemGroup,SALE,Type,,
955399,Blanket-Single,1,0,100,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,group,SALE,Single,,
955400,Blanket-Double,1,0,150,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,group,SALE,Double,,
955397,Carpet,1,0,100,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955396,Blanket Quilt Single Layer Single,1,0,100,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955395,Pillow Covers,1,0,20,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955394,Sofa Cushion Pillow Cover Small,1,0,20,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955393,Cushion Covers,1,0,20,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955392,Suit 2 Pcs,2,0,100,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955391,Kurta  Kameez Plain,1,0,60,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955390,Shirt,1,0,30,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955389,Saree,1,0,80,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955388,Salwar,1,0,30,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955387,Ladies Suit 2 pcs heavy without Dupatta,2,0,200,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955386,Gown,1,0,150,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955385,Lehnga,1,0,150,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955384,Scarf,1,0,20,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955383,Kameez,1,0,20,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955382,SweaterCardigan Full Sleeves Plain,1,0,20,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955381,Cardigan,1,0,30,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955378,Jacket,0,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,ItemGroup,SALE,Type,,
955379,Jacket-Normal,1,0,80,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,group,SALE,Normal,,
955380,Jacket-Half,1,0,50,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,group,SALE,Half,,
955377,Sweat Shirt,1,0,30,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955376,Overcoat,1,0,70,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955375,Sherwani,1,0,200,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955374,Shirt,1,0,20,0,,9,9,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
955373,Socks,2,0,0,0,,9,9,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
955372,Helmet,1,0,20,0,,9,9,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
955371,Belt,1,0,20,0,,9,9,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
955370,Hat,1,0,20,0,,9,9,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
955369,Gloves,2,0,20,0,,9,9,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
955368,Scarf,1,0,20,0,,9,9,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
955367,Tie,1,0,0,0,,9,9,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
955366,Sofa Leather,1,0,0,0,,9,9,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
955365,Sofa Normal fabric/ Rexin,1,0,0,0,,9,9,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
955361,Soft Toy,0,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
955362,Soft Toy-Upto 12 Inches,1,0,100,0,,9,9,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Upto 12 Inches,,
955363,Soft Toy-More than 12 Inches and Upto 24 Inches,1,0,100,0,,9,9,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,More than 12 Inches and Upto 24 Inches,,
955364,Soft Toy-More than 36 Inches,1,0,150,0,,9,9,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,More than 36 Inches,,
955360,Blinds,1,0,100,0,,9,9,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
955359,Duvet,1,0,100,0,,9,9,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
955356,Carpets,,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
955357,Carpets-Normal,1,0,20,0,null,9,9,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Normal,,
