Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
929691,DOUBLE BLANKET,1,0,150,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
929690,SINGEL BLANKET,1,0,100,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
929689,RUNNER,1,0,20,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
901446,RUEMER,1,0,80,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
829959,BATHROBE ,1,0,80,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
824449,frock full sleave,1,1,199,0,,0,0,,,Dry Clean,Full Body,no,no,NO,,Item,SALE,,,
808869,FACE TAWAL,1,0,10,0,,0,0,,,HELLO JEYPORE,HOUSE HOLD,no,no,YES,,Item,SALE,,,
808868,TABLE COVER {ROUND},1,0,20,0,,0,0,,,HELLO JEYPORE,HOUSE HOLD,no,no,YES,,Item,SALE,,,
808867,CHAIR COVER,1,0,10,0,,0,0,,,HELLO JEYPORE,HOUSE HOLD,no,no,YES,,Item,SALE,,,
808866,BED RUNNER,1,0,30,0,,0,0,,,HELLO JEYPORE,HOUSE HOLD,no,no,YES,,Item,SALE,,,
808865,CUSHION,1,0,80,0,,0,0,,,HELLO JEYPORE,HOUSE HOLD,no,no,YES,,Item,SALE,,,
808864,PILLOW,1,0,80,0,,0,0,,,HELLO JEYPORE,HOUSE HOLD,no,no,YES,,Item,SALE,,,
808863,PILLOW COVER,1,0,10,0,,0,0,,,HELLO JEYPORE,HOUSE HOLD,no,no,YES,,Item,SALE,,,
808862,DOUBLE DUVET COVER,1,0,45,0,,0,0,,,HELLO JEYPORE,HOUSE HOLD,no,no,YES,,Item,SALE,,,
808861,SINGLE DUVET COVER,1,0,35,0,,0,0,,,HELLO JEYPORE,HOUSE HOLD,no,no,YES,,Item,SALE,,,
808860,DOUBLE BEDSHEET,1,0,30,0,,0,0,,,HELLO JEYPORE,HOUSE HOLD,no,no,YES,,Item,SALE,,,
808859,SINGLE BEDSHEET,1,0,20,0,,0,0,,,HELLO JEYPORE,HOUSE HOLD,no,no,YES,,Item,SALE,,,
808858,NAPKIN,1,0,10,0,,0,0,,,HELLO JEYPORE,HOUSE HOLD,no,no,YES,,Item,SALE,,,
808857,TOWEL,1,0,25,0,,0,0,,,HELLO JEYPORE,HOUSE HOLD,no,no,YES,,Item,SALE,,,
808856,BATHMATE,1,0,25,0,,0,0,,,HELLO JEYPORE,HOUSE HOLD,no,no,YES,,Item,SALE,,,
808855,Hand Towel,1,0,15,0,,0,0,,,HELLO JEYPORE,HOUSE HOLD,no,no,YES,,Item,SALE,,,
808853,HAND TAWAL,1,0,15,0,,0,0,,,Dry Clean,House Hold,no,no,YES,,Item,SALE,,,
798287,TABLE COVER {ROUND},1,0,20,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
798286,CHAIR COVER,1,0,10,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
798285,TABLE COVER,1,0,20,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
798284,NAPKIN,1,0,8,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
798283,BED RUNNER,1,0,30,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
798282,CUSHION,1,0,80,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
798281,PILLOW,1,0,80,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
798280,PILLOW COVER,1,0,9,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
798279,SINGLE DUVET COVER,1,0,27,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
798278,HAND TAWAL,1,0,9,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
798276,DOUBLE DUVET COVER,1,0,36,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
798275,Towel,1,0,20,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
798274,Bedsheet Single,1,0,18,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
798273,Bedsheet Double,1,0,27,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
798272,DOUBLE BEDSHEET,1,1,30,0,,0,0,,,Dry Clean,Full Body,no,no,YES,,Item,SALE,,,
786806,BATH MATE,1,0,14,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
786805,FACE TAWAL,1,0,9,0,,0,0,,,HOTEL SIGNATURE,Items,no,no,YES,,Item,SALE,,,
777851,Wash & Fold Per Pcs,1,1,20,0,,0,0,,,Laundry,Laundry,no,no,NO,,Item,SALE,,,
777850,Wash & Steam Iron Per Pcs,1,2,30,0,,0,0,,,Laundry,Laundry,no,no,NO,,Item,SALE,,,
777849,Premium Laundry Per Pcs,1,4,40,0,,0,0,,,Laundry,Laundry,no,no,NO,,Item,SALE,,,
777848,Sports Shoes Pair,2,0,249,0,,0,0,,,Shoe & Bag Clean,Shoes Cleaning,no,no,NO,,Item,SALE,,,
777847,Canvas Shoes Pair,2,0,249,0,,0,0,,,Shoe & Bag Clean,Shoes Cleaning,no,no,NO,,Item,SALE,,,
777846,Suede Shoes Pair,2,0,399,0,,0,0,,,Shoe & Bag Clean,Shoes Cleaning,no,no,NO,,Item,SALE,,,
777845,Leather Shoes Pair,2,0,399,0,,0,0,,,Shoe & Bag Clean,Shoes Cleaning,no,no,NO,,Item,SALE,,,
777844,Ankle Length Boots Pair,2,0,499,0,,0,0,,,Shoe & Bag Clean,Shoes Cleaning,no,no,NO,,Item,SALE,,,
777843,Mid Lengh Boots Pair,2,0,599,0,,0,0,,,Shoe & Bag Clean,Shoes Cleaning,no,no,NO,,Item,SALE,,,
777842,Knee Length Boots Pair,2,0,699,0,,0,0,,,Shoe & Bag Clean,Shoes Cleaning,no,no,NO,,Item,SALE,,,
777841,Sandels Pair,2,0,99,0,,0,0,,,Shoe & Bag Clean,Shoes Cleaning,no,no,NO,,Item,SALE,,,
777840,Slippers Pair,2,0,89,0,,0,0,,,Shoe & Bag Clean,Shoes Cleaning,no,no,NO,,Item,SALE,,,
777839,Bagpack Small,1,0,199,0,,0,0,,,Shoe & Bag Clean,Bag Cleaning,no,no,NO,,Item,SALE,,,
777838,Mountainers Bag pack,1,0,299,0,,0,0,,,Shoe & Bag Clean,Bag Cleaning,no,no,NO,,Item,SALE,,,
777835,Handbag Convas Jute / Cloth,0,0,0,0,,0,0,,,Shoe & Bag Clean,Bag Cleaning,no,no,NO,,ItemGroup,SALE,Type,,
777836,Handbag Convas Jute / Cloth-Small,1,0,299,0,,0,0,,,Shoe & Bag Clean,Bag Cleaning,no,no,NO,,group,SALE,Small,,
777837,Handbag Convas Jute / Cloth-Large,1,0,399,0,,0,0,,,Shoe & Bag Clean,Bag Cleaning,no,no,NO,,group,SALE,Large,,
777832,Handbag Leather,0,0,0,0,,0,0,,,Shoe & Bag Clean,Bag Cleaning,no,no,NO,,ItemGroup,SALE,Type,,
777833,Handbag Leather-Small,1,0,599,0,,0,0,,,Shoe & Bag Clean,Bag Cleaning,no,no,NO,,group,SALE,Small,,
777834,Handbag Leather-Large,1,0,899,0,,0,0,,,Shoe & Bag Clean,Bag Cleaning,no,no,NO,,group,SALE,Large,,
777828,Trolley Bag,0,0,0,0,,0,0,,,Shoe & Bag Clean,Bag Cleaning,no,no,NO,,ItemGroup,SALE,Type,,
777829,Trolley Bag-(Upto 24 inch),1,0,299,0,,0,0,,,Shoe & Bag Clean,Bag Cleaning,no,no,NO,,group,SALE,(Upto 24 inch),,
777830,Trolley Bag-(Upto 36 inch),1,0,399,0,,0,0,,,Shoe & Bag Clean,Bag Cleaning,no,no,NO,,group,SALE,(Upto 36 inch),,
777831,Trolley Bag-(More Than 36 inch but limited to 48 inch,1,0,499,0,,0,0,,,Shoe & Bag Clean,Bag Cleaning,no,no,NO,,group,SALE,(More Than 36 inch but limited to 48 inch,,
777827,Handkerchief,1,0,39,0,,0,0,,,Accessories,Accessory,no,no,NO,,Item,SALE,,,
777826,Hat,1,0,99,0,,0,0,,,Accessories,Accessory,no,no,NO,,Item,SALE,,,
777825,Cap,1,0,69,0,,0,0,,,Accessories,Accessory,no,no,NO,,Item,SALE,,,
777824,Muffler,1,0,79,0,,0,0,,,Accessories,Accessory,no,no,NO,,Item,SALE,,,
777823,Rain Coat,1,0,99,0,,0,0,,,Accessories,Accessory,no,no,NO,,Item,SALE,,,
777822,Tie,1,0,39,0,,0,0,,,Accessories,Accessory,no,no,NO,,Item,SALE,,,
777821,Bath Robe,1,0,99,0,,0,0,,,Accessories,Accessory,no,no,NO,,Item,SALE,,,
777820,Belt,1,0,99,0,,0,0,,,Accessories,Accessory,no,no,NO,,Item,SALE,,,
777819,Wallet,1,0,79,0,,0,0,,,Accessories,Accessory,no,no,NO,,Item,SALE,,,
777818,Gloves,1,0,49,0,,0,0,,,Accessories,Accessory,no,no,NO,,Item,SALE,,,
777817,Socks,1,0,29,0,,0,0,,,Accessories,Accessory,no,no,NO,,Item,SALE,,,
777816,Face Mask,1,0,29,0,,0,0,,,Accessories,Accessory,no,no,NO,,Item,SALE,,,
777812,Shirt,0,0,0,0,,0,0,,,Steam Iron,Women,no,no,NO,,ItemGroup,SALE,Type,,
777813,Shirt-Normal,1,0,10,0,,0,0,,,Steam Iron,Women,no,no,NO,,group,SALE,Normal,,
777814,Shirt-Silk,1,0,15,0,,0,0,,,Steam Iron,Women,no,no,NO,,group,SALE,Silk,,
777815,Shirt-Woolen,1,0,20,0,,0,0,,,Steam Iron,Women,no,no,NO,,group,SALE,Woolen,,
777811,T Shirt,1,0,10,0,,0,0,,,Steam Iron,Women,no,no,NO,,Item,SALE,,,
777807,Top,0,0,0,0,,0,0,,,Steam Iron,Women,no,no,NO,,ItemGroup,SALE,Type,,
777808,Top-Plain,1,0,10,0,,0,0,,,Steam Iron,Women,no,no,NO,,group,SALE,Plain,,
777809,Top-Heavy,1,0,25,0,,0,0,,,Steam Iron,Women,no,no,NO,,group,SALE,Heavy,,
777810,Top-Very Heavy,1,0,45,0,,0,0,,,Steam Iron,Women,no,no,NO,,group,SALE,Very Heavy,,
777803,Kurta,0,0,0,0,,0,0,,,Steam Iron,Women,no,no,NO,,ItemGroup,SALE,Type,,
777804,Kurta-Plain,0,0,10,0,,0,0,,,Steam Iron,Women,no,no,NO,,group,SALE,Plain,,
777805,Kurta-Heavy,1,0,35,0,,0,0,,,Steam Iron,Women,no,no,NO,,group,SALE,Heavy,,
777806,Kurta-Very Heavy,1,0,50,0,,0,0,,,Steam Iron,Women,no,no,NO,,group,SALE,Very Heavy,,
777799,Kameez,0,0,0,0,,0,0,,,Steam Iron,Women,no,no,NO,,ItemGroup,SALE,Type,,
777800,Kameez-Plain,1,0,10,0,,0,0,,,Steam Iron,Women,no,no,NO,,group,SALE,Plain,,
