Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1321005,Tie,1,0,29,0,,0,0,,,ACCESSORIES,ACCESSORY,no,no,NO,,Item,SALE,,,
1321004,Scarf,1,0,49,0,,0,0,,,ACCESSORIES,ACCESSORY,no,no,NO,,Item,SALE,,,
1321003,Gloves,2,0,99,0,,0,0,,,ACCESSORIES,ACCESSORY,no,no,NO,,Item,SALE,,,
1321002,Hat,1,0,49,0,,0,0,,,ACCESSORIES,ACCESSORY,no,no,NO,,Item,SALE,,,
1321001,Belt,1,0,69,0,,0,0,,,ACCESSORIES,ACCESSORY,no,no,NO,,Item,SALE,,,
1321000,Helmet,1,0,249,0,,0,0,,,ACCESSORIES,ACCESSORY,no,no,NO,,Item,SALE,,,
1320999,Socks,2,0,29,0,,0,0,,,ACCESSORIES,ACCESSORY,no,no,NO,,Item,SALE,,,
1320998,Bagpack Small,1,0,229,0,,0,0,,,BAG CLEANING,BAGS,no,no,NO,,Item,SALE,,,
1320997,Mountainers Bag pack,1,0,349,0,,0,0,,,BAG CLEANING,BAGS,no,no,NO,,Item,SALE,,,
1320996,Windcheater,1,7,199,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320995,Achkan,1,8,399,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320994,Swimming Costume,1,9,59,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320993,Rain Coat,1,10,99,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320992,Laundry Garment,1,11,30,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320991,Uniform(General),1,12,79,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320990,T - Shirt,1,6,79,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320989,Kurta,1,5,79,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320988,Blazer,1,13,209,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320987,Waist Coat,1,14,149,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320986,Undershirt,1,15,69,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320985,Vest,1,16,49,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320984,Pants,1,17,79,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320983,Jeans,1,18,79,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320982,Pyjama,1,19,79,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320981,Lower,1,20,49,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320980,Shorts,1,21,49,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320979,Capri,1,22,79,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320978,Track Pant,1,23,79,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320977,Dhoti,1,3,79,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320976,Lungi,1,4,99,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320975,Pathani Suit,1,24,299,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320974,Tuxedo,1,25,319,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320973,Track Suit,1,26,169,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320972,Dangree,1,27,199,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320971,Kurta and Pyajama,1,28,149,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320970,Dhoti and Kurta,1,29,199,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320969,Sherwani 3 pcs Light,3,30,699,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320968,Over coat,1,31,349,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320967,Long Pullover,1,32,269,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320966,Sweat pant,1,34,129,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1320965,T - Shirt,1,0,79,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1320964,Blazer,1,0,199,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1320963,Choli,1,0,79,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1320962,Ladies Suit Ethnic,1,0,299,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1320961,Pants,1,0,79,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1320960,Jeans,1,0,79,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1320959,Leggings,1,0,79,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1320958,Slacks,1,0,89,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1320957,Lower,1,0,49,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1320956,Capri,1,0,79,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1320955,Track Pant,1,0,79,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
