Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1303073,Bedsheet,1,0,50,0,,0,0,,,LAUNDRY,Laundry,no,no,NO,,Item,SALE,,,
1300149,Rug,1,0,200,0,,0,0,,,DRY CLEAN,House Hold,no,no,NO,,Item,SALE,,,
1298014,Mosquito Net,1,0,250,0,,0,0,,,DRY CLEAN,House Hold,no,no,NO,,Item,SALE,,,
1292698,Baby Bedding,1,0,200,0,,0,0,,,DRY CLEAN,House Hold,no,no,NO,,Item,SALE,,,
1260790,Chunri,1,0,0,0,,0,0,,,DRY CLEAN,Religous,no,no,NO,,Item,SALE,,,
1260789,Mukut,1,0,100,0,,0,0,,,DRY CLEAN,Religous,no,no,NO,,Item,SALE,,,
1260065,Ladies Suit ,3,0,60,0,,0,0,,,STEAM IRON,Full Body,no,no,NO,,Item,SALE,,,
1239371,Kurta Pyjama,2,0,150,0,,0,0,,,LAUNDRY,Laundry,no,no,NO,,Item,SALE,,,
1237486,cloth,1,0,15,0,,0,0,,,STEAM IRON,Full Body,no,no,NO,,Item,SALE,,,
1233553,Track Suit,2,0,40,0,,0,0,,,WINTER WEAR SI,Winters,no,no,NO,,Item,SALE,,,
1232703,Shawl,1,0,30,0,,0,0,,,WINTER WEAR SI,Winters,no,no,NO,,Item,SALE,,,
1183491,Hand Bag,1,0,200,0,,0,0,,,SHOE & BAG CLEAN,Bag Cleaning,no,no,NO,,Item,SALE,,,
1181608,Carpet Small,1,0,250,0,,0,0,,,SHOE & BAG CLEAN,Sofa Cleaning,no,no,NO,,Item,SALE,,,
1172878,Mattress,1,0,200,0,,0,0,,,DRY CLEAN,House Hold,no,no,NO,,Item,SALE,,,
1166897,Wash & Iron,1,0,30,0,,0,0,,,LAUNDRY,Laundry,no,no,NO,,Item,SALE,,,
1166840,Wash & Fold,1,0,20,0,,0,0,,,LAUNDRY,Laundry,no,no,NO,,Item,SALE,,,
1164165,Chairs,1,0,150,0,,0,0,,,SHOE & BAG CLEAN,Sofa Cleaning,no,no,NO,,Item,SALE,,,
1136005,Sneakers pair,1,0,250,0,,0,0,,,SHOE & BAG CLEAN,Shoes Cleaning,no,no,NO,,Item,SALE,,,
1048503,Ladies Suit 3 pcs very heavy ,0,0,0,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,ItemGroup,SALE,Type,,
1048504,Ladies Suit 3 pcs very heavy -with salwar & dupatta,3,0,837,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,group,SALE,with salwar & dupatta,,
1048505,Ladies Suit 3 pcs very heavy -with pant/plazzo & dupatta,3,0,957,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,group,SALE,with pant/plazzo & dupatta,,
1048500,Ladies Suit 2 pcs very heavy ,0,0,0,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,ItemGroup,SALE,Type,,
1048501,Ladies Suit 2 pcs very heavy -with salwar,2,0,649,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,group,SALE,with salwar,,
1048502,Ladies Suit 2 pcs very heavy -with pant/plazzo,2,0,678,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,group,SALE,with pant/plazzo,,
1048497,Ladies Suit 3 pcs heavy ,0,0,0,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,ItemGroup,SALE,Type,,
1048498,Ladies Suit 3 pcs heavy -with salwar & dupatta,3,0,549,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,group,SALE,with salwar & dupatta,,
1048499,Ladies Suit 3 pcs heavy -with pant/plazzo & dupatta,3,0,599,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,group,SALE,with pant/plazzo & dupatta,,
