Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1328837,CURTAINS ABOVE 8 FEET,1,0,289,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1328836,CURTAINS ABOVE 8 FEET BALCONY ,1,0,289,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1328023,FULL T SHIRT,1,0,119,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1323943,CARPET  6 FT,1,0,249,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1322325,COVER  SMALL,1,0,10,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1322324,COVER BIG,1,0,20,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1315416,RIDING JACKET < SPORTS >,1,0,199,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1303982,sofa cover  large,1,0,179,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1303981,sofa cover medium,1,0,129,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1303979,Sofa Cover small,1,0,79,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1303640,TABLE MATT,1,0,42,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1303621,BANIEAN ,1,0,15,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1296250,BED SHEET double ,1,0,199,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1296249,BED SHEET single ,1,0,139,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1293294,hoodie,1,0,149,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1293288,sherwani suit  1 pc,1,0,249,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1292649,Lenin shirt full,1,0,169,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1292648,khaadi shirt full,1,0,169,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1291658,saree very heavy ,1,0,479,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1291657,saree plain ,1,0,199,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1291655,lehnga bridal 2.5  kg ,1,0,1549,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1291654,lehnga 3 pcs ,1,0,599,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1291653,sherwani weight upto 10kg,1,0,3549,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1291652,sherwani 3 pcs light ,1,0,599,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1291651,petti coat ,1,0,99,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1291650,plazoo,1,0,149,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1291647,salwar heavy ,1,0,159,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1291646,salwar plain ,1,0,109,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1291645,sameez ,1,0,59,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1288720,Double Blanket ,1,0,599,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,YES,,Item,SALE,,,
1288662,blanket double layer ,1,0,499,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1288661,Blanket  Single - single layer,1,0,369,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1287418,jacket half ,1,0,40,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1287417,jacket Nomal,1,0,60,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1287416,Dress Normal,1,0,60,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1287415,Dress Long,1,0,80,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1287414,suit 3 pcs ,1,0,70,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1287413,Suit 2 Pcs,1,0,50,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1287412,sherwani ,1,0,100,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1287411,Track Pant,1,0,40,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1287410,Pyjama,1,0,35,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1287409,Kurta Pyajama,1,0,40,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1287408,Kurta,1,0,30,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1287407,Pants,1,0,25,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1287406,Jeans,1,0,25,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1287405,Shirt,1,0,25,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1287404,Child Frock,1,0,40,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
