Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1303650,Nighty,1,0,109,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,Item,SALE,,,
1298587,Leather Jacket,1,0,599,0,,0,0,,,WINTER WEAR,Winter,no,no,NO,,Item,SALE,,,
1292639,Packing Charges,1,0,5,0,,0,0,,,STEAM PRESS ONLY,MEN,no,no,NO,,Item,SALE,,,
1292006,Nighty,1,0,35,0,,0,0,,,STEAM PRESS ONLY,WOMEN,no,no,NO,,Item,SALE,,,
1292002,Shirt Heavy,1,0,40,0,,0,0,,,STEAM PRESS ONLY,MEN,no,no,NO,,Item,SALE,,,
1290521,Woolen Kurta,1,0,229,0,,0,0,,,WINTER WEAR,Winter,no,no,NO,,Item,SALE,,,
1290434,Lehenga 1 Pc Very Heavy,1,0,849,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,Item,SALE,,,
1274648,Helmet,1,0,399,0,,0,0,,,ACCESSORIES,Accessory,no,no,NO,,Item,SALE,,,
1258314,Long Frock,1,0,40,0,,0,0,,,STEAM PRESS ONLY,WOMEN,no,no,NO,,Item,SALE,,,
1256905,Rider Jacket,1,0,449,0,,0,0,,,WINTER WEAR,Winter,no,no,NO,,Item,SALE,,,
1256904,Jacket Heavy,1,0,449,0,,0,0,,,WINTER WEAR,Winter,no,no,NO,,Item,SALE,,,
1251389,Table Cover 5x5,1,0,220,0,,0,0,,,DRY CLEAN,House Hold,no,no,NO,,Item,SALE,,,
1251388,Table Cover Blue,1,0,150,0,,0,0,,,DRY CLEAN,House Hold,no,no,NO,,Item,SALE,,,
1251387,Chair Cover,1,0,100,0,,0,0,,,DRY CLEAN,House Hold,no,no,NO,,Item,SALE,,,
1250537,Furr Coat,1,0,549,0,,0,0,,,WINTER WEAR,Winter,no,no,NO,,Item,SALE,,,
1243161,Saree Polish,1,0,300,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,Item,SALE,,,
1243160,Long Dress,1,0,399,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,Item,SALE,,,
1243159,Saree Rolling,1,0,230,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,Item,SALE,,,
1239391,Saree Silk,1,0,279,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,Item,SALE,,,
1226821,Lehanga heavy,1,0,95,0,,0,0,,,STEAM PRESS ONLY,WOMEN,no,no,NO,,Item,SALE,,,
1226820,Lehanga Plain,1,0,65,0,,0,0,,,STEAM PRESS ONLY,WOMEN,no,no,NO,,Item,SALE,,,
1226261,Long Frock,1,0,449,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,Item,SALE,,,
1226260,Bike Cover,1,0,199,0,,0,0,,,DRY CLEAN,House Hold,no,no,NO,,Item,SALE,,,
1197789,Party Dress,1,0,399,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,Item,SALE,,,
1189409,Mosquito Net,1,0,349,0,,0,0,Steam iron,,DRY CLEAN,House Hold,no,no,NO,,Item,SALE,,,
1166566,Saree Heavy,1,0,100,0,,0,0,,,STEAM PRESS ONLY,WOMEN,no,no,NO,,Item,SALE,,,
1166565,saree plain,1,0,100,0,,0,0,,,STEAM PRESS ONLY,WOMEN,no,no,NO,,Item,SALE,,,
1092076, Frock,1,0,329,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,Item,SALE,,,
1092075, Frok ,1,0,349,0,,0,0,,,DRY CLEAN,Upper Wear,no,no,NO,,Item,SALE,,,
1091734,Eco Friendly Hygiene Laundry - Wash and Iron,1,0,190,0,,0,0,,,LAUNDRY,Laundry,no,no,NO,,Item,SALE,,,
1091733,Eco Friendly Hygiene Laundry - Wash and Fold ,1,0,150,0,,0,0,,,LAUNDRY,Laundry,no,no,NO,,Item,SALE,,,
1000470,Apron,1,0,109,0,,0,0,,,DRY CLEAN,House Hold,no,no,NO,,Item,SALE,,,
1000297,Starch,1,0,30,0,,0,0,,,STEAM PRESS ONLY,MEN,no,no,NO,,Item,SALE,,,
1000138,Lehenga Blouse 2pc Kids Plain,1,0,289,0,,0,0,,,DRY CLEAN,Full Body,no,no,NO,,Item,SALE,,,
999851,Pet Enclosure small,1,0,400,0,,0,0,,,ACCESSORIES,Accessory,no,no,NO,,Item,SALE,,,
968521,Lehenga 1 Pc Plain,1,0,399,0,,0,0,,,DRY CLEAN,Bottom Wear,no,no,NO,,Item,SALE,,,
951919,Payjama,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
951916,Blanket ,0,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,ItemGroup,SALE,Type,,
951917,Blanket -Single,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,group,SALE,Single,,
951918,Blanket -Double,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,group,SALE,Double,,
951915,Carpet,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
951914,Blanket Quilt Single Layer Single,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
951913,Pillow Covers,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
951912,Sofa Cushion Pillow Cover Small,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
951911,Cushion Covers,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
951910,Suit 2 Pcs,2,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
951909,Kurta  Kameez Plain,1,0,20,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
951908,Shirt,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
951907,Saree,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
951906,Salwar,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
951905,Ladies Suit 2 pcs heavy without Dupatta,2,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
951904,Gown,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
