Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1327831,bedsheet double  wash,1,0,80,0,,0,0,,,LAUNDRY ,LAUNDRY,no,no,NO,,Item,SALE,,,
1322241,door long curtains,1,0,269,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1321006,hall curtain,1,0,299,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1320004,bedsheet wash and iron,1,0,100,0,,0,0,,,LAUNDRY ,LAUNDRY,no,no,NO,,Item,SALE,,,
1320001,school bag,1,0,249,0,,0,0,,,BAG CLEANING,BAGS,no,no,NO,,Item,SALE,,,
1309266,plain blouse with starch,1,0,30,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1309265,saree with starch,1,0,80,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1309264,pant with starch,1,0,45,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1309263,shirt with starch ,1,0,35,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1306032,Pillow  cover large ,1,0,349,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1306031,pillow cover medium ,1,0,200,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1306030,pillow cover small ,1,0,149,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1306029,cushion large ,1,0,349,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1306028,Cushion  200medium,1,0,200,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1306027,Cushion pillow small,1,0,149,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1304864,Sofa per seat ,1,0,250,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1304852,Lampshade ,1,0,200,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1304810,lamp head medium,1,0,499,0,,0,0,,,ACCESSORIES,ACCESSORY,no,no,NO,,Item,SALE,,,
1304809,lamp head small,1,0,299,0,,0,0,,,ACCESSORIES,ACCESSORY,no,no,NO,,Item,SALE,,,
1304081,cheaf court,1,0,169,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1303627,leather sandles,1,0,399,0,,0,0,,,SHOE CLEANING,SHOES,no,no,NO,,Item,SALE,,,
1303081,kids 2 suit blazer,1,0,239,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1303070,suit 2 pcs,1,0,239,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1303068,lehanga plain,1,0,299,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1302325,FOOT MAT LARGE,1,0,119,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1302324,Footmat Medium,1,0,99,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1300152,PANT/JEANS WASH AND IRON,1,0,40,0,,0,0,,,LAUNDRY ,LAUNDRY,no,no,NO,,Item,SALE,,,
1300151,SHIRT WASH AND IRON,1,0,40,0,,0,0,,,LAUNDRY ,LAUNDRY,no,no,NO,,Item,SALE,,,
1299564,KURTA WASH ,1,0,40,0,,0,0,,,LAUNDRY ,LAUNDRY,no,no,NO,,Item,SALE,,,
1299541,strach,1,0,30,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1298220,long tee full /half,1,0,109,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1298219,long t shirt full sleeves/half,1,0,25,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1298018,kids t shirt,1,0,59,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1298017,kids blazer ,1,0,169,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1298016,kids pant,1,0,79,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1298015,kids shirt,1,0,79,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1297772,SUIT 3 PCS ,1,0,459,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1297771,BRIDAL SAREE MORE THAN 10KG,1,0,3549,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1297770,BRIDAL  SAREE UP TO  5 KG,1,0,1549,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1297769,LEHNGA BRIDAL MORE THAN 10 KG,1,0,1849,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1297768,BRIDAL LEHNGA  UP TO 5 KG,1,0,1299,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1297767,LEHNGA UP TO 2.5 KG,1,0,999,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1297755,SILK SAREE ,1,0,249,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1295962,soft toy more than 36inch,1,0,150,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295961,soft toys more than 12 inches upto 24 inches ,1,0,100,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295960,soft toy upto 12 inches ,1,0,100,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295959,carpet fur and puffy ,1,0,20,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295958,Carpet normal ,1,0,20,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295957,towel hand ,1,0,20,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295956,towel normal ,1,0,20,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO||Item,SALE,,,
1295955,Table cloth large,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295954,Table cloth Small,1,0,30,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295953,cushion or pillow large ,1,0,100,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295952,cushion or pillow medium ,1,0,80,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295951,cushion or pillow small ,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295950,sofa or cushion pillow cover large ,1,0,40,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295949,sofa or cushion pillow cover medium ,1,0,30,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295948,sofa or cushion pillow cover small ,1,0,20,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295947,curtain door with liner per pennel ,1,0,100,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295946,curtain window without liner per pennel -3*4 rate-11.5 per square feet,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295945,quilt cover double ,1,0,70,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295944,quilt cover single ,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295943,bedsheet double ,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295942,bedsheet single ,1,0,30,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295941,quilt double ,1,0,120,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295940,quilt single ,1,0,80,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295939,blanket double double layer ,1,0,120,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295938,blanket double single layer ,1,0,80,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295937,blanket single double layer ,1,0,80,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295936,Blanket Single- single layer,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1295641,jacket leather ,1,0,120,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1295640,jacket sport,1,0,40,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1295638,Jacket full sleeves,1,0,80,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1295637,jacket half sleeves ,1,0,50,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1295636,long coat fur fluffy ,1,0,120,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1295635,long coat normal ,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1295634,coat fur fluffy,1,0,80,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1295633,coat normal ,1,0,50,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1295632,sweat shirt with hood ,1,0,70,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1295631,sweat shirt without hood,1,0,50,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1295629,lehenga 3 pcs heavy ,1,0,300,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1295628,lehenga 3 pcs plain ,1,0,200,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1295627,saree very heavy ,1,0,150,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1295626,saree heavy ,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1295624,saree plain ,1,0,50,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1295622,gown bridal ,1,0,200,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1295620,gown heavy ,1,0,150,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1295619,gown plain ,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
