Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1320002,hanger,1,0,20,0,,0,0,,,STEAM IRON,ACCESSORIES,yes,yes,NO,,Item,SALE,,,
1098902,Shirt,0,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,ItemGroup,SALE,Type,,
1098903,Shirt-Full,1,0,99,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Full,,
1098904,Shirt-Silk ,1,0,149,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Silk ,,
1098905,Shirt-Half,1,0,89,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Half,,
1098906,Shirt-Woolen,1,0,149,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Woolen,,
1098899,Suit ,0,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,ItemGroup,SALE,Type,,
1098900,Suit -2Pcs,2,0,299,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,2Pcs,,
1098901,Suit -3Pcs,3,0,389,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,3Pcs,,
1098895,Top,0,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,ItemGroup,SALE,Type,,
1098896,Top-Plain,1,0,129,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Plain,,
1098897,Top-Heavy,1,0,179,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Heavy,,
1098898,Top-Very Heavy,1,0,239,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Very Heavy,,
1098891,Kurta Kameez,0,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,ItemGroup,SALE,Type,,
1098892,Kurta Kameez-Plain,1,0,129,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Plain,,
1098893,Kurta Kameez-Heavy,1,0,179,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Heavy,,
1098894,Kurta Kameez-Very Heavy,1,0,239,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Very Heavy,,
1098887,Skirt Short,0,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,ItemGroup,SALE,Type,,
1098888,Skirt Short-Plain,1,0,129,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Plain,,
1098889,Skirt Short-Heavy,1,0,179,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Heavy,,
1098890,Skirt Short-Very Heavy,1,0,239,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Very Heavy,,
1098883,Skirt Long,0,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,ItemGroup,SALE,Type,,
1098884,Skirt Long-Plain,1,0,219,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Plain,,
1098885,Skirt Long-Heavy,1,0,269,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Heavy,,
1098886,Skirt Long-Very Heavy,1,0,329,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Very Heavy,,
1098879,Blouse,0,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,ItemGroup,SALE,Type,,
1098880,Blouse-Plain,1,0,79,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Plain,,
1098881,Blouse-Heavy,1,0,119,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Heavy,,
1098882,Blouse-Very Heavy,1,0,179,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Very Heavy,,
1098875,Dupatta,0,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,ItemGroup,SALE,Type,,
1098876,Dupatta-Plain,1,0,89,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Plain,,
1098877,Dupatta-Heavy,1,0,119,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Heavy,,
1098878,Dupatta-Very Heavy,1,0,179,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Very Heavy,,
1098871,Salwar,0,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,ItemGroup,SALE,Type,,
1098872,Salwar-Plain,1,0,109,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Plain,,
1098873,Salwar-Heavy,1,0,159,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Heavy,,
1098874,Salwar-Very Heavy,1,0,219,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Very Heavy,,
1098867,Plazo,0,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,ItemGroup,SALE,Type,,
1098868,Plazo-Plain,1,0,149,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Plain,,
1098869,Plazo-Heavy,1,0,199,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Heavy,,
1098870,Plazo-Very Heavy,1,0,269,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Very Heavy,,
1098864,Dress,0,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,ItemGroup,SALE,Type,,
1098865,Dress-Normal,1,0,249,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Normal,,
1098866,Dress-Long,1,0,399,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Long,,
1098860,Suit 2 Pcs,0,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,ItemGroup,SALE,Type,,
1098861,Suit 2 Pcs-Light,1,0,229,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Light,,
1098862,Suit 2 Pcs-Heavy,1,0,349,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,Heavy,,
