Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1296017,Dress Normal,1,0,40,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1296016,Dress Long,1,0,60,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1296015,Lehenga ,1,0,100,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1296014,Dangree ,1,0,60,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1296013,Coat,1,0,40,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1296012,Gown,1,0,60,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1296010,Girl suit Ethnic,1,0,80,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1296009,shorts,1,0,20,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1296007,capri,1,0,20,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1296006,T-shirt,1,0,20,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1296005,pullover,1,0,60,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1296004,sherwani ,1,0,100,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1296003,Track Pant,1,0,20,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1296002,payjama  ,1,0,20,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1296001,kurta pyjama,1,0,40,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1296000,kurta ,1,0,20,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1295999,Pant,1,0,20,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1295998,jeans,1,0,20,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1295997,shirt,1,0,20,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1295992,suit 3 pcs ,1,0,70,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1295991,suit 2 pcs,1,0,50,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1295990,jacket sport,1,0,15,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1295986,Child Frock ,1,0,149,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295985,Tie,1,0,29,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295984,Skirt,1,0,99,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295983,swimming costume,1,0,49,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295982,Achkan,1,0,249,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295980,pathani suit,1,0,149,0,,0,0,,,DRY CLEAN,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1295979,sweater half ,1,0,79,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295978,waist coat,1,0,99,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295977,sweat shirt ,1,0,129,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295976,Long Coat,1,0,199,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295975,Choli,1,0,49,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295973,Lehenga ,1,0,299,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295972,Dangree ,1,0,199,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295971,Coat,1,0,149,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295970,Gown,1,0,249,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295969,girls suit ethenic ,1,0,199,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295968,shorts,1,0,59,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295967,capri,1,0,59,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295966,T-shirt,1,0,59,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295965,pullover,1,0,149,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295964,sherwani ,1,0,249,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295639,Track Pant,1,0,59,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295630,Pyjama,1,0,59,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295625,Pants,1,0,59,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295623,jeans,1,0,59,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295621,shirt ,1,0,59,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295618,Dress Normal,1,0,179,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295603,suit 3 pcs ,1,0,199,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295600,suit 2 pcs,1,0,149,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295597,Jacket half sleeves,1,0,129,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295591,jacket Nomal,1,0,129,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295589,jacket sport,1,0,99,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295588,kurta and pyjama,1,0,79,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1295587,kurta Normal ,1,0,89,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1146254,Suede Leather,1,0,399,0,,0,0,,,SHOE CLEANING,SHOE CLEANING,no,no,NO,,Item,SALE,,,
1146253,Leather Shoe,1,0,399,0,,0,0,,,SHOE CLEANING,SHOE CLEANING,no,no,NO,,Item,SALE,,,
1146252,Canvas Shoe,1,0,249,0,,0,0,,,SHOE CLEANING,SHOE CLEANING,no,no,NO,,Item,SALE,,,
1146251,Sport Shoe,1,0,249,0,,0,0,,,SHOE CLEANING,SHOE CLEANING,no,no,NO,,Item,SALE,,,
1145548,Curtain With Linar,1,0,199,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1145547,Curtain Normal,1,0,129,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1145546,Carpet/Sq.Ft,1,0,25,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1145545,Quilt/D,1,0,399,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1145544,Quilt/S,1,0,299,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1145543,Bed sheet/D,1,0,149,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1145542,Bedsheet/S,1,0,99,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1145541,Blanket /Double,1,0,399,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1145540,Singel Blanket,1,0,299,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1145539,Skirt,1,0,119,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1145538,Lehenga Normal,1,0,499,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1145537,Shawl,1,0,149,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1145534,Blouse Normal,1,0,69,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1145532,Saree,1,0,149,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1145528,Dupatta Plain,1,0,99,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1145525,Salwaar/Plazzo,1,0,119,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1145524,Kurta,1,0,119,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1145523,Choli,1,0,150,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1145522,Blazer,1,0,299,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1145521,T-shirt,1,0,80,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1145034,Wash & Fold,1,0,80,0,,0,0,,,LAUNDRY BY WEIGHT,LAUNDRY,no,no,NO,,Item,SALE,,,
1145033,Wash & Iron,1,0,110,0,,0,0,,,LAUNDRY BY WEIGHT,LAUNDRY,no,no,NO,,Item,SALE,,,
1145032,Premium Laundry,1,0,170,0,,0,0,,,LAUNDRY BY WEIGHT,LAUNDRY,no,no,NO,,Item,SALE,,,
1145031,Woolen Laundry,1,0,220,0,,0,0,,,LAUNDRY BY WEIGHT,LAUNDRY,no,no,NO,,Item,SALE,,,
1145028,Quilt,0,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
1145029,Quilt-Single,1,0,40,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Single,,
1145030,Quilt-Double,1,0,75,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Double,,
1145025,BedSheet,0,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
1145026,BedSheet-Single,1,0,20,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Single,,
1145027,BedSheet-Double,1,0,30,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Double,,
1145021,Curtain,,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
1145022,Curtain-Door-Without Liner,1,0,60,0,null,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Door-Without Liner,,
