Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
799866,Child Frock,1,0,149,0,,0,0,,,Dry Clean,Upper Wear,no,no,NO,,Item,SALE,,,
799865,Ladies Suit 3 pcs very heavy with pant/plazzo & dupatta,1,0,867,0,,0,0,,,Dry Clean,Full Body,no,no,NO,,Item,SALE,,,
799864,Ladies Suit 3 pcs very heavy with salwar & dupatta,1,0,737,0,,0,0,,,Dry Clean,Full Body,no,no,NO,,Item,SALE,,,
799863,Ladies Suit 2 pcs very heavy with pant/plazzo,1,0,638,0,,0,0,,,Dry Clean,Full Body,no,no,NO,,Item,SALE,,,
799862,Ladies Suit 2 pcs very heavy with salwar,1,0,508,0,,0,0,,,Dry Clean,Full Body,no,no,NO,,Item,SALE,,,
799861,Ladies Suit 3 pcs heavy with pant/plazzo & dupatta,1,0,597,0,,0,0,,,Dry Clean,Full Body,no,no,NO,,Item,SALE,,,
799860,Ladies Suit 3 pcs heavy with salwar & dupatta,1,0,527,0,,0,0,,,Dry Clean,Full Body,no,no,NO,,Item,SALE,,,
799859,Ladies Suit 2 pcs heavy with pant/plazzo,1,0,438,0,,0,0,,,Dry Clean,Full Body,no,no,NO,,Item,SALE,,,
799858,Ladies Suit 2 pcs heavy with salwar,1,0,358,0,,0,0,,,Dry Clean,Full Body,no,no,NO,,Item,SALE,,,
799857,Ladies Suit 3 pcs plain with pant/plazzo & dupatta,1,0,387,0,,0,0,,,Dry Clean,Full Body,no,no,NO,,Item,SALE,,,
799856,Ladies Suit 3 pcs plain with salwar & dupatta,1,0,347,0,,0,0,,,Dry Clean,Full Body,no,no,NO,,Item,SALE,,,
799855,Ladies Suit 2 pcs plain with pant/plazzo,1,0,288,0,,0,0,,,Dry Clean,Full Body,no,no,NO,,Item,SALE,,,
