Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1299069,Curtain Ring,1,0,50,0,,0,0,,,Dry Clean,House Hold,no,no,NO,,Item,SALE,,,
1297941,Curtain Belt,,0,0,0,,0,0,,,Dry Clean,House Hold,no,no,NO,,ItemGroup,SALE,Type,,
1297942,Curtain Belt-Plain,1,0,250,0,null,0,0,,,Dry Clean,House Hold,no,no,NO,,group,SALE,Plain,,
1297943,Curtain Belt-Medium,1,0,350,0,null,0,0,,,Dry Clean,House Hold,no,no,NO,,group,SALE,Medium,,
1297944,Curtain Belt-Heavy,1,0,450,0,null,0,0,,,Dry Clean,House Hold,no,no,NO,,group,SALE,Heavy,,
1297937,Panty/Underwear,,0,0,0,,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,ItemGroup,SALE,Size,,
1297938,Panty/Underwear-S,1,0,75,0,null,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,group,SALE,S,,
1297939,Panty/Underwear-M,1,0,100,0,null,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,group,SALE,M,,
1297940,Panty/Underwear-L,1,0,150,0,null,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,group,SALE,L,,
1297933,Dress 3 Pc,,0,0,0,,0,0,,,Dry Clean,Upper Wear,no,no,NO,,ItemGroup,SALE,Type,,
1297934,Dress 3 Pc-Plain,3,0,500,0,null,0,0,,,Dry Clean,Upper Wear,no,no,NO,,group,SALE,Plain,,
1297935,Dress 3 Pc-Medium,3,0,600,0,null,0,0,,,Dry Clean,Upper Wear,no,no,NO,,group,SALE,Medium,,
1297936,Dress 3 Pc-Heavy,3,0,700,0,null,0,0,,,Dry Clean,Upper Wear,no,no,NO,,group,SALE,Heavy,,
1297929,Dress 2 Pc,,0,0,0,,0,0,,,Dry Clean,Upper Wear,no,no,NO,,ItemGroup,SALE,Type,,
1297930,Dress 2 Pc-Plain,2,0,400,0,null,0,0,,,Dry Clean,Upper Wear,no,no,NO,,group,SALE,Plain,,
