Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
624705,Wash & Fold Per Kg,1,1,75,0,,0,0,,,Laundry,Laundry,no,no,NO,,Item,SALE,,,
624704,Wash & Steam Iron Per Kg,1,2,100,0,,0,0,,,Laundry,Laundry,no,no,NO,,Item,SALE,,,
624703,Premium Laundry Per Kg,1,4,150,0,,0,0,,,Laundry,Laundry,no,no,NO,,Item,SALE,,,
624702,Woolen Laundry Per Kg,1,3,240,0,,0,0,,,Laundry,Laundry,yes,yes,NO,,Item,SALE,,,
624676,Blouse,0,0,0,0,,0,0,,,Dry Clean,Upper Wear,no,no,NO,,ItemGroup,SALE,Type,,
624677,Blouse-Plain,1,0,69,0,,0,0,,,Dry Clean,Upper Wear,no,no,NO,,group,SALE,Plain,,
624678,Blouse-Heavy,1,0,99,0,,0,0,,,Dry Clean,Upper Wear,no,no,NO,,group,SALE,Heavy,,
624679,Blouse-Very Heavy,1,0,149,0,,0,0,,,Dry Clean,Upper Wear,no,no,NO,,group,SALE,Very Heavy,,
624675,Sameez,1,0,39,0,,0,0,,,Dry Clean,Upper Wear,no,no,NO,,Item,SALE,,,
624674,Vest,1,0,39,0,,0,0,,,Dry Clean,Upper Wear,no,no,NO,,Item,SALE,,,
624673,Bra,1,0,39,0,,0,0,,,Dry Clean,Upper Wear,no,no,NO,,Item,SALE,,,
624672,Pant,1,0,99,0,,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,Item,SALE,,,
624671,Jeans,1,0,99,0,,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,Item,SALE,,,
624670,Lungi,1,0,79,0,,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,Item,SALE,,,
624669,Dhoti,1,0,99,0,,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,Item,SALE,,,
624668,Track Pant,1,0,89,0,,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,Item,SALE,,,
624667,Payjama,1,0,89,0,,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,Item,SALE,,,
624666,Lower,1,0,79,0,,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,Item,SALE,,,
624665,Leggings,1,0,79,0,,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,Item,SALE,,,
624664,Slacks,1,0,79,0,,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,Item,SALE,,,
624663,Shorts/Capri,1,0,79,0,,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,Item,SALE,,,
624662,Jumper,1,0,179,0,,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,Item,SALE,,,
624658,Salwar,0,0,0,0,,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,ItemGroup,SALE,Type,,
624659,Salwar-Plain,1,0,99,0,,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,group,SALE,Plain,,
624660,Salwar-Heavy,1,0,139,0,,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,group,SALE,Heavy,,
624661,Salwar-Very Heavy,1,0,179,0,,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,group,SALE,Very Heavy,,
624654,Plazo,0,0,0,0,,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,ItemGroup,SALE,Type,,
624655,Plazo-Plain,1,0,119,0,,0,0,,,Dry Clean,Bottom Wear,no,no,NO,,group,SALE,Plain,,
