Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1277881,wash and fold per pcs ,1,1,20,0,,0,0,,,LAUNDRY ,LAUNDRY ,no,no,YES,,Item,SALE,,,
1277880,wash and Iron per pcs,1,1,30,0,,0,0,,,LAUNDRY ,LAUNDRY ,no,no,YES,,Item,SALE,,,
1146250,Wash & Fold,1,1,80,0,,0,0,,,LAUNDRY ,LAUNDRY ,no,no,YES,,Item,SALE,,,
1146249,Wash & Iron,1,1,110,0,,0,0,1,,LAUNDRY ,LAUNDRY ,no,no,YES,,Item,SALE,,,
1146247,Payjama,1,0,10,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1146244,Blanket,0,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,ItemGroup,SALE,Type,,
1146245,Blanket-Single,1,0,100,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,group,SALE,Single,,
1146246,Blanket-Double,1,0,150,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,group,SALE,Double,,
1146243,Carpet,1,0,100,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1146242,Blanket Quilt Single Layer Single,1,0,100,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1146241,Pillow Covers,1,0,20,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1146240,Sofa Cushion Pillow Cover Small,1,0,20,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1146239,Cushion Covers,1,0,20,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1146238,Suit 2 Pcs,2,0,100,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1146237,Kurta Kameez Plain,1,0,60,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1146236,Shirt,1,0,30,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1146235,Saree,1,0,80,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1146234,Salwar,1,0,30,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1146233,Ladies Suit 2 pcs heavy without Dupatta,2,0,100,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1146232,Gown,1,0,150,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1146231,Lehnga,1,0,150,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1146230,Scarf,1,0,20,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1146229,Kameez,1,0,20,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1146228,SweaterCardigan Full Sleeves Plain,1,0,40,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1146227,Cardigan,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1146224,Jacket,0,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,ItemGroup,SALE,Type,,
1146225,Jacket-Normal,1,0,30,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,group,SALE,Normal,,
1146226,Jacket-Half,1,0,30,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,group,SALE,Half,,
1146223,Sweat Shirt,1,0,40,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
