Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1028032,Suit ,,0,0,0,,0,0,,,DRY CLEAN,FULL BODY,no,no,NO,,ItemGroup,SALE,type,,
1028033,Suit -2 Pcs,1,0,399,0,null,0,0,,,DRY CLEAN,FULL BODY,no,no,NO,,group,SALE,2 Pcs,,
1028034,Suit -3 Pcs,1,0,499,0,null,0,0,,,DRY CLEAN,FULL BODY,no,no,NO,,group,SALE,3 Pcs,,
1028026,Child Frock,1,0,199,0,,0,0,,,DRY CLEAN,UPPER WEAR,no,no,NO,,Item,SALE,,,
1028023,Ladies Suit 3 pcs very heavy with ,0,0,0,0,,0,0,,,DRY CLEAN,FULL BODY,no,no,NO,,ItemGroup,SALE,Type,,
1028024,Ladies Suit 3 pcs very heavy with -Salwar & dupatta,1,0,837,0,,0,0,,,DRY CLEAN,FULL BODY,no,no,NO,,group,SALE,Salwar & dupatta,,
1028025,Ladies Suit 3 pcs very heavy with -Pant/ Plazzo & dupatta,1,0,957,0,,0,0,,,DRY CLEAN,FULL BODY,no,no,NO,,group,SALE,Pant/ Plazzo & dupatta,,
1028020,Ladies Suit 2 pcs heavy with,0,0,0,0,,0,0,,,DRY CLEAN,FULL BODY,no,no,NO,,ItemGroup,SALE,Type,,
1028021,Ladies Suit 2 pcs heavy with-Salwar,1,0,649,0,,0,0,,,DRY CLEAN,FULL BODY,no,no,NO,,group,SALE,Salwar,,
1028022,Ladies Suit 2 pcs heavy with-Pant/Plazzo,1,0,678,0,,0,0,,,DRY CLEAN,FULL BODY,no,no,NO,,group,SALE,Pant/Plazzo,,
1028017,Ladies Suit 3 pcs heavy with,0,0,0,0,,0,0,,,DRY CLEAN,FULL BODY,no,no,NO,,ItemGroup,SALE,Type,,
1028018,Ladies Suit 3 pcs heavy with-Salwar & dupatta,1,0,549,0,,0,0,,,DRY CLEAN,FULL BODY,no,no,NO,,group,SALE,Salwar & dupatta,,
