Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1114098,Premium Laundry,1,0,149,0,,0,0,,,LAUNDRY,LAUNDRY,no,no,NO,,Item,SALE,,,
1027533,Wash & Iron,1,0,110,0,,0,0,,,LAUNDRY,LAUNDRY,no,no,NO,,Item,SALE,,,
1027532,Wash & Fold,1,0,80,0,,0,0,,,LAUNDRY,LAUNDRY,no,no,NO,,Item,SALE,,,
1022520,Payjama,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022517,Blanket,0,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,ItemGroup,SALE,Type,,
1022518,Blanket-Single,1,0,40,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,group,SALE,Single,,
1022519,Blanket-Double,1,0,70,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,group,SALE,Double,,
1022516,Carpet,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022515,Blanket Quilt Single Layer Single,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022514,Pillow Covers,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022513,Sofa Cushion Pillow Cover Small,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022512,Cushion Covers,1,0,60,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022511,Suit 2 Pcs,2,0,20,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022510,Kurta  Kameez Plain,1,0,20,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022509,Shirt,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022508,Saree,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022507,Salwar,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022506,Ladies Suit 2 pcs heavy without Dupatta,2,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022505,Gown,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022504,Lehnga,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022503,Scarf,1,0,20,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022502,Kameez,1,0,20,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022501,SweaterCardigan Full Sleeves Plain,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022500,Cardigan,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022497,Jacket,0,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,ItemGroup,SALE,Type,,
1022498,Jacket-Normal,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,group,SALE,Normal,,
1022499,Jacket-Half,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,group,SALE,Half,,
1022496,Sweat Shirt,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1022495,Overcoat,1,0,0,0,,0,0,,,STEAM PRESS ONLY,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
