Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1198674,Payjama,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198673,Carpet,1,0,49,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198672,Blanket Quilt Single Layer Single,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198671,Pillow Covers,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198670,Sofa Cushion Pillow Cover Small,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198669,Cushion Covers,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198668,Suit 2 Pcs,2,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198667,Kurta  Kameez Plain,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198666,Shirt,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198665,Saree,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198664,Salwar,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198663,Ladies Suit 2 pcs heavy without Dupatta,2,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198662,Gown,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198661,Lehnga,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198660,Scarf,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198659,Kameez,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198658,SweaterCardigan Full Sleeves Plain,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198657,Cardigan,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198656,Sweat Shirt,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198655,Overcoat,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198654,Sherwani,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198653,Shirt,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1198652,Socks,2,0,49,0,,0,0,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
1198651,Helmet,1,0,0,0,,0,0,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
1198650,Belt,1,0,149,0,,0,0,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
1198649,Hat,1,0,129,0,,0,0,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
1198648,Gloves,2,0,49,0,,0,0,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
1198647,Scarf,1,0,29,0,,0,0,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
1198646,Tie,1,0,49,0,,0,0,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
1198645,Sofa Leather,1,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1198644,Sofa Normal fabric/ Rexin,1,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1198643,Blinds,1,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1198642,Duvet,1,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1198641,Table Mat,1,0,20,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1198640,Foot Mats,1,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1198639,Chair Covers,1,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1198638,Handkerchief,1,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1198637,Child Frock,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198636,Tie,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198635,Skirt,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198634,Swimming Costume,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198633,Achkan,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198632,Pathani Suit,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198631,Sweater Half,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198630,Waist Coat,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198629,Sweat Shirt,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198628,Long Coat,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198627,Choli,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198626,Lehnga,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198625,Dangree,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198624,Coat,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198623,Gown,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198622,Girl Suit Ethnic,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198621,Shorts,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198620,Capri,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198619,T Shirt,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198618,Pullover,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198617,Sherwani,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198616,Track Pant,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198615,Pyjama,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198614,Kurta Pyajama,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198613,Kurta,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198612,Pants,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198611,Jeans,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198610,Shirt,1,0,0,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
1198609,Gloves,1,0,0,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198608,Panty Under Wear,1,0,0,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198607,Sameez,1,0,19,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198606,Brassieres,1,0,29,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198605,Bikini,1,0,29,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198604,Swimming Costume,1,0,79,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198603,Stocking,1,0,0,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198602,Jumper,1,0,49,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198601,Shawl,1,0,69,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198600,Windcheater,1,0,0,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198599,Sweat pant,1,0,0,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198598,Pullover,1,0,0,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198597,Over Coat,1,0,0,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198596,Dangree,1,0,89,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198595,Sharara,1,0,199,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198594,Ladies Suit Western,1,0,0,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198593,Wedding Dress,1,0,0,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198592,Petti Coat,1,0,19,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198591,Track Pant,1,0,19,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198590,Capri,1,0,15,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198589,Lower,1,0,19,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198588,Slacks,1,0,19,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198587,Leggings,1,0,19,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198586,Jeans,1,0,19,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198585,Pants,1,0,19,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198584,Ladies Suit Ethnic,1,0,0,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198583,Choli,1,0,0,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198582,Blazer,1,0,79,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198581,T Shirt,1,0,19,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1198580,Uniform(General),1,0,0,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198579,Laundry Garment,1,0,0,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198578,Rain Coat,1,0,0,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198577,Swimming Costume,1,0,70,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198576,Achkan,1,0,175,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198575,Windcheater,1,0,0,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198574,sweat pant,1,0,0,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198573,Long Pullover,1,0,0,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198572,Over coat,1,0,0,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198571,Sherwani 3 pcs Light,3,0,0,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198570,Dhoti and Kurta,1,0,0,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198569,Kurta and Pyajama,1,0,32,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198568,Dangree,1,0,89,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198567,Track Suit,1,0,0,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198566,Tuxedo,1,0,0,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198565,Pathani Suit,1,0,0,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198564,Lungi,1,0,30,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198563,Dhoti,1,0,300,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198562,Track Pant,1,0,20,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198561,Capri,1,0,20,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198560,Shorts,1,0,20,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198559,Lower,1,0,20,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198558,Pyjama,1,0,20,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1198557,Jeans,1,0,20,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
