Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1226392,shirt full,1,0,90,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1223673,chunri,1,0,99,0,,0,0,,,DRY CLEAN,WOMEN,no,no,YES,,Item,SALE,,,
1223672,ghagra,1,0,149,0,,0,0,,,DRY CLEAN,WOMEN,no,no,YES,,Item,SALE,,,
1223671,chunni,1,0,99,0,,0,0,,,DRY CLEAN,WOMEN,no,no,YES,,Item,SALE,,,
1223670,dupatta,1,0,99,0,,0,0,,,DRY CLEAN,WOMEN,no,no,YES,,Item,SALE,,,
1219243,Dress Normal,1,0,40,0,,0,0,,,STEAM IRON,KIDS,no,no,YES,,Item,SALE,,,
1219241,Dress Long,1,0,60,0,,0,0,,,STEAM IRON,KIDS,no,no,YES,,Item,SALE,,,
1219240,jacket half sleeves,1,0,40,0,,0,0,,,STEAM IRON,KIDS,no,no,YES,,Item,SALE,,,
1219233,jacket Nomal,1,0,40,0,,0,0,,,STEAM IRON,KIDS,no,no,YES,,Item,SALE,,,
1219153,Jacket with leather,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219152,jacket sport,1,0,30,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219151,Jacket full sleeves,1,0,120,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219150,jacket half sleeves,1,0,90,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219149,Coat Fur Fluffy,1,0,90,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219148,Coat Normal,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219144,sweat cardigan half sleeves,1,0,40,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219140,sweater cardigan half sleeves,1,0,30,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219139,sweat shirt with hood,1,0,50,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219138,sweat shirt with hood,1,0,40,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219131,Saree bridal weight 10 kg,1,0,300,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219130,Saree bridal weight upto 5 kg,1,0,200,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219129,Gown Bridal ,1,0,250,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219128,Gown Heavy,1,0,150,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219127,Gown plain,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219126,suit 3 pcs very  heavy ,1,0,180,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219125,suit 3 pcs heavy,1,0,120,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219124,suit 3 pcs light ,1,0,80,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219123,suit 2 pcs very  heavy ,1,0,140,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219116,Dress Long,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219112,Dress Normal,1,0,80,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219108,Dupatta Very Heavy,1,0,60,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219107,Dupatta Heavy,1,0,40,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219106,Dupatta Plain,1,0,20,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219099,kurta and kameez Plain,1,0,30,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219098,kurta and kameez  Heavy,1,0,50,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219097,Top very Heavy,1,0,70,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219093,suit 3 pcs,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219092,suit 2 pcs,1,0,80,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219088,Shirt woolen,1,0,30,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219087,Shirt Half Sleeves,1,0,20,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219086,Shirt Full Sleeves,1,0,20,0,,0,0,,,STEAM IRON,WOMEN,no,no,YES,,Item,SALE,,,
1219085,sherwani 2 pcs Heavy,1,0,150,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219084,suit 3 pcs,1,0,140,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219083,suit 2 pcs,1,0,100,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219082,safari suit 2 pcs,1,0,80,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219081,Safari suit coat,1,0,70,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219080,Safari shirt,1,0,20,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219079,Shirt woolen,1,0,30,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219078,Shirt Silk,1,0,30,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219077,Shirt Full Sleeves,1,0,20,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219076,Jacket with leather,1,0,100,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219075,jacket sport,1,0,30,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219074,Jacket with Hood,1,0,120,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219073,Jacket full sleeves,1,0,90,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219072,jacket half sleeves,1,0,60,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219071,long coat fur fluffy,1,0,120,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219070,long coat normal,1,0,90,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219069,Coat Fur Fluffy,1,0,100,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219067,Coat Normal,1,0,80,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219066,sweater Full sleeves,1,0,50,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1219062,sweater half sleeves,1,0,30,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1218968,sweat shirt with hood,1,0,40,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1218967,sweat shirt without hood,1,0,30,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1218965,sherwani 2 pcs Heavy,1,0,150,0,,0,0,,,STEAM IRON,MEN,no,no,YES,,Item,SALE,,,
1218728,Blanket /Double,1,0,299,0,,0,0,,,DRY CLEAN,INSTITUTIONAL,no,no,YES,,Item,SALE,,,
1218727,Blanket single,1,0,199,0,,0,0,,,DRY CLEAN,INSTITUTIONAL,no,no,YES,,Item,SALE,,,
1218726,jacket half sleeves,1,0,149,0,,0,0,,,DRY CLEAN,INSTITUTIONAL,no,no,YES,,Item,SALE,,,
1218725,jacket normal ,1,0,199,0,,0,0,,,DRY CLEAN,INSTITUTIONAL,no,no,YES,,Item,SALE,,,
1218724,soft toy more then 36 inches,1,0,499,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,YES,,Item,SALE,,,
1218723,soft toy more than 5 inches,1,0,299,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,YES,,Item,SALE,,,
1218722,soft toys upto 12 inches,1,0,199,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,YES,,Item,SALE,,,
1218721,carpet - Fur & pufy ,1,0,39,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,YES,,Item,SALE,,,
1218720,Carpet normal ,1,0,29,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,YES,,Item,SALE,,,
1218719,Towel Hand ,1,0,29,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,YES,,Item,SALE,,,
1218718,Towel normal ,1,0,69,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,YES,,Item,SALE,,,
1218717,Table cloth large,1,0,99,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,YES,,Item,SALE,,,
1218716,Table Cloth small,1,0,69,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,YES,,Item,SALE,,,
1218715,sofa and cusion cover large,1,0,99,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,YES,,Item,SALE,,,
1218714,sofa and cusion cover medium,1,0,79,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,YES,,Item,SALE,,,
1218713,sofa and cusion pillow cover small,1,0,59,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,YES,,Item,SALE,,,
1218712,Curtain With Linar per pennel ,1,0,199,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,YES,,Item,SALE,,,
1218711,Curtain  door without lining,1,0,129,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,YES,,Item,SALE,,,
1218710,Curtain With Lining per pennel,1,0,149,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,YES,,Item,SALE,,,
