Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1232913,Premium Laundry per kg ,1,0,160,0,,9,9,,,LAUNDRY BY WEIGHT,LAUNDRY,no,no,NO,,Item,SALE,,,
1232912,Premium Laundry per pcs ,1,0,40,0,,9,9,,,LAUNDRY BY WEIGHT,LAUNDRY,no,no,NO,,Item,SALE,,,
1232911,wash and fold per pcs ,1,0,20,0,,9,9,,,LAUNDRY BY WEIGHT,LAUNDRY,no,no,NO,,Item,SALE,,,
1232910,wash and Iron per pcs ,1,0,30,0,,9,9,,,LAUNDRY BY WEIGHT,LAUNDRY,no,no,NO,,Item,SALE,,,
1202059,Gown Normal,1,0,350,0,,9,9,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1202058,Child Frock ,1,0,249,0,,9,9,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1041920,Shirt,0,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,ItemGroup,SALE,Type,,
1041921,Shirt-Full,1,0,0,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Full,,
1041922,Shirt-Half,1,0,0,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Half,,
1041923,Shirt-Silk ,1,0,0,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Silk ,,
1041924,Shirt-Woolen,1,0,119,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Woolen,,
1041919,T - Shirt,1,0,59,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041915,Safari,0,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,ItemGroup,SALE,Type,,
1041916,Safari-Shirt,1,0,129,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Shirt,,
1041917,Safari-Suit Coat,1,0,219,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Suit Coat,,
1041918,Safari-Suit 2Pcs,2,0,269,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Suit 2Pcs,,
1041914,Kurta,1,0,99,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041913,Blazer,1,0,299,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041912,Waist Coat,1,0,169,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041909,Suit ,0,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,ItemGroup,SALE,Type,,
1041910,Suit -2 Pcs,2,0,269,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,2 Pcs,,
1041911,Suit -3 Pcs,3,0,329,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,3 Pcs,,
1041908,Undershirt,1,0,0,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041907,Vest,1,0,39,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041906,Pants,1,0,59,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041905,Jeans,1,0,59,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041904,Pyjama,1,0,69,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041903,Lower,1,0,69,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041902,Shorts,1,0,69,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041901,Capri,1,0,69,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041900,Track Pant,1,0,69,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041899,Dhoti,1,0,99,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041898,Lungi,1,0,79,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041897,Pathani Suit,1,0,269,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041896,Tuxedo,1,0,189,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041895,Track Suit,1,0,219,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041894,Dangree,1,0,0,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041893,Kurta and Pyajama,1,0,199,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041892,Dhoti and Kurta,1,0,0,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041889,Sherwani 2 pcs,0,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,ItemGroup,SALE,Type,,
1041890,Sherwani 2 pcs-Light,2,0,0,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Light,,
1041891,Sherwani 2 pcs-Heavy,2,0,349,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Heavy,,
1041888,Sherwani 3 pcs Light,3,0,299,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041884,Sherwani Bridal Weight,0,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,ItemGroup,SALE,Type,,
1041885,Sherwani Bridal Weight-2 and Half Kg,1,0,0,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,2 and Half Kg,,
1041886,Sherwani Bridal Weight-More Than 5 Kg,1,0,0,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,More Than 5 Kg,,
1041887,Sherwani Bridal Weight-More Than 10 Kg,1,0,0,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,More Than 10 Kg,,
1041881,SweatShirt ,0,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,ItemGroup,SALE,Type,,
1041882,SweatShirt -without hood,1,0,149,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,without hood,,
1041883,SweatShirt -with hood,1,0,179,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,with hood,,
1041878,Sweater,0,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,ItemGroup,SALE,Type,,
1041879,Sweater-Half Sleeves,1,0,0,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Half Sleeves,,
1041880,Sweater-Full Sleeves,1,0,0,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Full Sleeves,,
1041875,Coat,0,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,ItemGroup,SALE,Type,,
1041876,Coat-Normal,1,0,249,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Normal,,
1041877,Coat-Fur Fluffy,1,0,299,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Fur Fluffy,,
1041872,Long Coat,0,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,ItemGroup,SALE,Type,,
1041873,Long Coat-Normal,1,0,299,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Normal,,
1041874,Long Coat-Fur  Fluffy,1,0,349,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Fur  Fluffy,,
1041871,Over coat,1,0,399,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041870,Long Pullover,1,0,349,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041869,sweat pant,1,0,0,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041863,Jacket,0,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,ItemGroup,SALE,Type,,
1041864,Jacket-Half Sleeves,1,0,169,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Half Sleeves,,
1041865,Jacket-Full Sleeves,1,0,189,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Full Sleeves,,
1041866,Jacket-with hood,1,0,219,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,with hood,,
1041867,Jacket-Sports,1,0,0,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Sports,,
1041868,Jacket-Leather,1,0,400,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Leather,,
1041862,Windcheater,1,0,199,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041861,Achkan,1,0,399,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041860,Swimming Costume,1,0,68,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1041859,Rain Coat,1,0,0,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
