Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1292323,shirt full,1,0,20,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1282277,towel,1,0,70,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1282276,chunri ,1,0,99,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1282275,Shirt Full Sleeves,1,0,80,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1282274,ghagra,1,0,149,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1282273,chunni,1,0,99,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1282272,dupatta ,1,0,99,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1282271,Sherwani,1,0,449,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1282108,curtains door with liner per panel ,1,0,100,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1282107,curtain door without liner ,1,0,60,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1282106,curtain with lining ,1,0,60,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1282100,Blouse plain,1,0,20,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1282099,skirt Long very heavy,1,0,70,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1282098,skirt short plain ,1,0,20,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1282097,top heavy ,1,0,35,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1282096,suit 3 pcs,1,0,70,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
