Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1086274,Backpack - Medium,1,0,549,0,,0,0,,,BAG CLEANING,BAGS,no,no,NO,,Item,SALE,,,
969728,Kurta Heavy,,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,ItemGroup,SALE,,,
954081,Premiuim Laundry,1,0,170,0,,0,0,,,LAUNDRY,Laundry,no,no,NO,,Item,SALE,,,
954080,Wash & Iron,1,0,110,0,,0,0,,,LAUNDRY,Laundry,no,no,NO,,Item,SALE,,,
954079,Wash & Fold,1,0,80,0,,0,0,,,LAUNDRY,Laundry,no,no,NO,,Item,SALE,,,
953276,Payjama,1,0,30,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953273,Blanket,0,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,ItemGroup,SALE,Type,,
953274,Blanket-Single,1,0,100,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,group,SALE,Single,,
953275,Blanket-Double,1,0,150,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,group,SALE,Double,,
953272,Carpet,1,0,100,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953271,Blanket Quilt Single Layer Single,1,0,100,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953270,Pillow Covers,1,0,20,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953269,Sofa Cushion Pillow Cover Small,1,0,20,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953268,Cushion Covers,1,0,20,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953267,Suit 2 Pcs,2,0,100,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953266,Kurta  Kameez Plain,1,0,60,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953265,Shirt,1,0,30,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953264,Saree,1,0,80,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953263,Salwar,1,0,30,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953262,Ladies Suit 2 pcs heavy without Dupatta,2,0,200,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953261,Gown,1,0,150,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953260,Lehnga,1,0,150,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953259,Scarf,1,0,20,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953258,Kameez,1,0,20,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953257,SweaterCardigan Full Sleeves Plain,1,0,20,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953256,Cardigan,1,0,30,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953253,Jacket,0,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,ItemGroup,SALE,Type,,
953254,Jacket-Normal,1,0,80,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,group,SALE,Normal,,
953255,Jacket-Half,1,0,50,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,group,SALE,Half,,
953252,Sweat Shirt,1,0,30,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953251,Overcoat,1,0,70,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953250,Sherwani,1,0,200,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953249,Shirt,1,0,20,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
953248,Socks,2,0,0,0,,0,0,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
953247,Helmet,1,0,20,0,,0,0,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
953246,Belt,1,0,20,0,,0,0,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
953245,Hat,1,0,20,0,,0,0,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
953244,Gloves,2,0,20,0,,0,0,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
953243,Scarf,1,0,20,0,,0,0,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
953242,Tie,1,0,0,0,,0,0,,,STEAM IRON,ACCESSORIES,no,no,NO,,Item,SALE,,,
953241,Sofa Leather,1,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
953240,Sofa Normal fabric/ Rexin,1,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
953236,Soft Toy,0,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
953237,Soft Toy-Upto 12 Inches,1,0,100,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Upto 12 Inches,,
953238,Soft Toy-More than 12 Inches and Upto 24 Inches,1,0,100,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,More than 12 Inches and Upto 24 Inches,,
953239,Soft Toy-More than 36 Inches,1,0,150,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,More than 36 Inches,,
953235,Blinds,1,0,100,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
953234,Duvet,1,0,100,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
953231,Carpets,,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
953232,Carpets-Normal,1,0,20,0,null,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Normal,,
953233,Carpets-Fur and Puffy,1,0,20,0,null,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Fur and Puffy,,
953230,Table Mat,1,0,20,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
953229,Foot Mats,1,0,20,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
953228,Chair Covers,1,0,40,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
953227,Handkerchief,1,0,20,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
953224,Towel,0,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
953225,Towel-Normal,1,0,20,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Normal,,
953226,Towel-Hand,1,0,20,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Hand,,
953221,Table Cloth,0,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
953222,Table Cloth-Small,1,0,30,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Small,,
953223,Table Cloth-Large,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Large,,
953217,Cushion or Pillow,0,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
953218,Cushion or Pillow-Small,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Small,,
953219,Cushion or Pillow-Medium,1,0,80,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Medium,,
953220,Cushion or Pillow-Large,1,0,100,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Large,,
953213,Sofa or Cushion Pillow Cover,0,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
953214,Sofa or Cushion Pillow Cover-Small,1,0,20,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Small,,
953215,Sofa or Cushion Pillow Cover-Medium,1,0,30,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Medium,,
953216,Sofa or Cushion Pillow Cover-Large,1,0,40,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Large,,
953210,Curtain Door,,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
953211,Curtain Door-Without Liner,1,0,70,0,null,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Without Liner,,
953212,Curtain Door-With Liner Per Panel  ,1,0,100,0,null,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,With Liner Per Panel  ,,
953207,Curtain Window,,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
953208,Curtain Window-Without LinerPer,1,0,50,0,null,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Without LinerPer,,
953209,Curtain Window-With Liner Per  Panel,1,0,70,0,null,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,With Liner Per  Panel,,
953204,Quilt Cover ,0,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
953205,Quilt Cover -Single,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Single,,
953206,Quilt Cover -Double,1,0,70,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Double,,
953201,BedSheet,0,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
953202,BedSheet-Single,1,0,30,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Single,,
953203,BedSheet-Double,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Double,,
953198,Blanket Spread Summer Comforter,0,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
953199,Blanket Spread Summer Comforter-Single,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Single,,
953200,Blanket Spread Summer Comforter-Double,1,0,80,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Double,,
953195,Quilt,0,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
953196,Quilt-Single,1,0,80,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Single,,
953197,Quilt-Double,1,0,120,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Double,,
953192,Blanket Double,0,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
953193,Blanket Double-Single Layer,1,0,80,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Single Layer,,
953194,Blanket Double-Double Layer,1,0,120,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Double Layer,,
953189,Blanket Single ,0,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,ItemGroup,SALE,Type,,
953190,Blanket Single -Single Layer,1,0,50,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Single Layer,,
953191,Blanket Single -Double Layer,1,0,80,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,group,SALE,Double Layer,,
953188,Child Frock,1,0,40,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
953187,Tie,1,0,20,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
953186,Skirt,1,0,20,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
953185,Swimming Costume,1,0,20,0,,0,0,,,STEAM IRON,KIDS,no,no,NO,,Item,SALE,,,
