Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1329349,Fabric Piece ,1,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1256907,Leatherite Sneaker ,2,0,0,0,,0,0,,,SHOE CLEANING,SHOES,no,no,NO,,Item,SALE,,,
1249938,POCKET SQUARE,1,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1248264,BABY CAP TOWEL,1,0,0,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1248263,BABY SEAT COVER,1,0,0,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1240797,Charak ,1,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1233502,Cord Set ,2,0,0,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1207270,Poncho ,1,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1183854,Poshak 4 Piece Light,4,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1183853,Poshak 4 Piece Light,4,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1175135,Mattress,1,0,0,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1162500,Woolen Ear Muffs ,1,0,0,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1162499,Woolen Caps ,1,0,0,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1160428,Sweater,1,0,0,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1159254,Saafa,1,0,0,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1159253,Saafa ,1,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1127943,Baby Seat,1,0,0,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1127942,Baby Pram,1,0,0,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1120788,kids Poncho,1,0,0,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1108172,HEAVVY JACKETS,1,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1067001,POSHAK 3 PCS HEAVY,3,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1067000,POSHAK 4 PCS HEAVY,4,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1060430,Overcoat,1,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1060413,JACKET HEAVVY,1,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1060412,WOOLLEN SHIRT,1,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1048114,BASKET,1,0,0,0,,0,0,,,DRY CLEAN,ACCESSORIES,no,no,NO,,Item,SALE,,,
1046506,SHERWANI,1,0,0,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1040898,Bathrobe,1,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1030696,OVER SHIRT,1,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1027575,Ready Wear Saree,1,0,0,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1027430,Sweater,1,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1026351,SUITE 2 PCS,2,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1019040,CORD SET,2,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1017760,BLAZER,1,0,0,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1015269,CAP,1,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1013553,SHARARA,1,0,0,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1013192,TOP,1,0,0,0,,0,0,,,DRY CLEAN,KIDS,no,no,NO,,Item,SALE,,,
1009614,READY TO WEAR SAREE,1,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1009613,CURTAIN SMALL,1,0,0,0,,0,0,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1004224,STOLL,1,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
995001,JACKET WITH HOOD,1,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
989758,CROCS,1,0,0,0,,0,0,,,SHOE CLEANING,SHOES,no,no,NO,,Item,SALE,,,
989598,SHERWANI,1,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
986965,BED COVER,1,0,0,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
984006,SHAWLS,1,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
983979,DRESS MATERIAL,1,0,0,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
974434,CARGO PAINT,1,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
969566,Dungree Denim Men ,1,0,119,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
969565,Woolen Laundry,1,0,220,0,,0,0,,,LAUNDRY,Laundry,no,no,NO,,Item,SALE,,,
968789,Towel {Pool},1,0,30,0,,0,0,,,DRY CLEAN,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
968787,Towel White,1,0,25,0,,0,0,,,DRY CLEAN,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
965192,Apron,1,0,20,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
963302,Premium Laundry,1,0,170,0,,0,0,,,LAUNDRY,Laundry,no,no,NO,,Item,SALE,,,
958042,Wash & Iron,1,0,100,0,,0,0,,,LAUNDRY,Laundry,no,no,NO,,Item,SALE,,,
958041,Wash & Fold,1,0,70,0,,0,0,,,LAUNDRY,Laundry,no,no,NO,,Item,SALE,,,
957274,Payjama,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
957271,Blanket,0,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,ItemGroup,SALE,Type,,
957272,Blanket-Single,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,group,SALE,Single,,
957273,Blanket-Double,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,group,SALE,Double,,
957270,Carpet,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
957269,Blanket Quilt Single Layer Single,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
