Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1322800,Shirt Full Sleeve With Charak ,1,0,189,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1314936,Suit 3 Pcs,1,0,499,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1309963,Saree Silk-Premium,1,0,399,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1302535,Chelsea,1,0,349,0,,0,0,,,SHOE CLEANING,SHOES,no,no,YES,,Item,SALE,,,
1302534,Quilt Double,1,0,549,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1302533,Quilt Single,1,0,349,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1302530,sharara Heavy,1,0,200,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302529,sharara Medium,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302528,sharara plain,1,0,75,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302527,skirt short heavy,1,0,90,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302526,salwar very heavy,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302525,Salwar heavy,1,0,75,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302524,Salwar plain,1,0,50,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302523,Plazoo very Heavy,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302522,Plazoo Heavy,1,0,75,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302521,Plazoo plain,1,0,50,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302520,skirt short very heavy,1,0,130,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302519,skirt short plain ,1,0,70,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302518,skirt long very heavy,1,0,150,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302517,skirt long heavy ,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302516,skirt long plain ,1,0,50,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302514,Top Heavy,1,0,100,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302513,Top Medium,1,0,75,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302512,Top Plain,1,0,50,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302511,Lehenga Very Heavy ,1,0,600,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302510,lehenga Heavy,1,0,500,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302509,lehenga medium,1,0,400,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302508,Lehenga Plain,1,0,350,0,,0,0,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1302507,sherwani 1pcs Heavy,1,0,250,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1302506,sherwani 1pc Medium,1,0,200,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
